Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002932.SZ,*ST明德,医药生物,一级行业
002933.SZ,新兴装备,国防军工,一级行业
002929.SZ,润建股份,通信,一级行业
002927.SZ,泰永长征,电力设备,一级行业
002928.SZ,华夏航空,交通运输,一级行业
002941.SZ,新疆交建,建筑装饰,一级行业
002942.SZ,新农股份,基础化工,一级行业
002940.SZ,昂利康,医药生物,一级行业
002943.SZ,宇晶股份,机械设备,一级行业
002945.SZ,华林证券,非银金融,一级行业
002946.SZ,新乳业,食品饮料,一级行业
002947.SZ,恒铭达,电子,一级行业
002948.SZ,青岛银行,银行,一级行业
002938.SZ,鹏鼎控股,电子,一级行业
002939.SZ,长城证券,非银金融,一级行业
002936.SZ,郑州银行,银行,一级行业
002937.SZ,兴瑞科技,汽车,一级行业
002935.SZ,天奥电子,国防军工,一级行业
002931.SZ,锋龙股份,机械设备,一级行业
002930.SZ,宏川智慧,交通运输,一级行业
