申万一级行业名称
环保
电力设备
商贸零售
社会服务
综合
银行
汽车
石油石化
煤炭
房地产
钢铁
纺织服饰
通信
轻工制造
交通运输
基础化工
食品饮料
农林牧渔
非银金融
有色金属
建筑材料
美容护理
建筑装饰
医药生物
公用事业
家用电器
电子
国防军工
机械设备
传媒
计算机
