Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
000858.SZ,五粮液,食品饮料,一级行业
300750.SZ,宁德时代,电力设备,一级行业
600519.SH,贵州茅台,食品饮料,一级行业
