vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万计算机行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|鼎捷数智|300378|计算机|一级行业|申万行业分类|
|安硕信息|300380|计算机|一级行业|申万行业分类|
|飞天诚信|300386|计算机|一级行业|申万行业分类|
|天利科技|300399|计算机|一级行业|申万行业分类|
|ST浩丰|300419|计算机|一级行业|申万行业分类|
|运达科技|300440|计算机|一级行业|申万行业分类|
|浩云科技|300448|计算机|一级行业|申万行业分类|
|汉邦高科|300449|计算机|一级行业|申万行业分类|
|创业慧康|300451|计算机|一级行业|申万行业分类|
|深信服|300454|计算机|一级行业|申万行业分类|
|航天智装|300455|计算机|一级行业|申万行业分类|
|ST华铭|300462|计算机|一级行业|申万行业分类|
|高伟达|300465|计算机|一级行业|申万行业分类|
|四方精创|300468|计算机|一级行业|申万行业分类|
|信息发展|300469|计算机|一级行业|申万行业分类|
|神思电子|300479|计算机|一级行业|申万行业分类|
|中科创达|300496|计算机|一级行业|申万行业分类|
|维宏股份|300508|计算机|一级行业|申万行业分类|
|科大国创|300520|计算机|一级行业|申万行业分类|
|辰安科技|300523|计算机|一级行业|申万行业分类|
|博思软件|300525|计算机|一级行业|申万行业分类|
|优博讯|300531|计算机|一级行业|申万行业分类|
|今天国际|300532|计算机|一级行业|申万行业分类|
|农尚环境|300536|计算机|一级行业|申万行业分类|
|先进数通|300541|计算机|一级行业|申万行业分类|
|新晨科技|300542|计算机|一级行业|申万行业分类|
|雄帝科技|300546|计算机|一级行业|申万行业分类|
|和仁科技|300550|计算机|一级行业|申万行业分类|
|古鳌科技|300551|计算机|一级行业|申万行业分类|
|万集科技|300552|计算机|一级行业|申万行业分类|
|丝路视觉|300556|计算机|一级行业|申万行业分类|
|佳发教育|300559|计算机|一级行业|申万行业分类|
|汇金科技|300561|计算机|一级行业|申万行业分类|
|数字认证|300579|计算机|一级行业|申万行业分类|
|熙菱信息|300588|计算机|一级行业|申万行业分类|
|诚迈科技|300598|计算机|一级行业|申万行业分类|
|恒锋信息|300605|计算机|一级行业|申万行业分类|
|思特奇|300608|计算机|一级行业|申万行业分类|
|汇纳科技|300609|计算机|一级行业|申万行业分类|
|万兴科技|300624|计算机|一级行业|申万行业分类|
|彩讯股份|300634|计算机|一级行业|申万行业分类|
|正元智慧|300645|计算机|一级行业|申万行业分类|
|中孚信息|300659|计算机|一级行业|申万行业分类|
|科蓝软件|300663|计算机|一级行业|申万行业分类|
|宇信科技|300674|计算机|一级行业|申万行业分类|
|中科信息|300678|计算机|一级行业|申万行业分类|
|朗新科技|300682|计算机|一级行业|申万行业分类|
|赛意信息|300687|计算机|一级行业|申万行业分类|
|联合光电|300691|计算机|一级行业|申万行业分类|
|科创信息|300730|计算机|一级行业|申万行业分类|
|天地数码|300743|计算机|一级行业|申万行业分类|
|每日互动|300766|计算机|一级行业|申万行业分类|
|迪普科技|300768|计算机|一级行业|申万行业分类|
