vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万机械设备行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|高铁电气|688285|机械设备|一级行业|申万行业分类|
|景业智能|688290|机械设备|一级行业|申万行业分类|
|科德数控|688305|机械设备|一级行业|申万行业分类|
|均普智能|688306|机械设备|一级行业|申万行业分类|
|欧科亿|688308|机械设备|一级行业|申万行业分类|
|迈得医疗|688310|机械设备|一级行业|申万行业分类|
|燕麦科技|688312|机械设备|一级行业|申万行业分类|
|禾川科技|688320|机械设备|一级行业|申万行业分类|
|深科达|688328|机械设备|一级行业|申万行业分类|
|艾隆科技|688329|机械设备|一级行业|申万行业分类|
|铂力特|688333|机械设备|一级行业|申万行业分类|
|普源精电|688337|机械设备|一级行业|申万行业分类|
|明志科技|688355|机械设备|一级行业|申万行业分类|
|德马科技|688360|机械设备|一级行业|申万行业分类|
|工大高科|688367|机械设备|一级行业|申万行业分类|
|迪威尔|688377|机械设备|一级行业|申万行业分类|
|华光新材|688379|机械设备|一级行业|申万行业分类|
|新益昌|688383|机械设备|一级行业|申万行业分类|
|正弦电气|688395|机械设备|一级行业|申万行业分类|
|凌云光|688400|机械设备|一级行业|申万行业分类|
|美腾科技|688420|机械设备|一级行业|申万行业分类|
|铁建重工|688425|机械设备|一级行业|申万行业分类|
|华曙高科|688433|机械设备|一级行业|申万行业分类|
|磁谷科技|688448|机械设备|一级行业|申万行业分类|
|科捷智能|688455|机械设备|一级行业|申万行业分类|
|哈铁科技|688459|机械设备|一级行业|申万行业分类|
|九州一轨|688485|机械设备|一级行业|申万行业分类|
|联赢激光|688518|机械设备|一级行业|申万行业分类|
|秦川物联|688528|机械设备|一级行业|申万行业分类|
|豪森智能|688529|机械设备|一级行业|申万行业分类|
|日联科技|688531|机械设备|一级行业|申万行业分类|
|兰剑智能|688557|机械设备|一级行业|申万行业分类|
|国盛智科|688558|机械设备|一级行业|申万行业分类|
|海目星|688559|机械设备|一级行业|申万行业分类|
|铁科轨道|688569|机械设备|一级行业|申万行业分类|
|天玛智控|688570|机械设备|一级行业|申万行业分类|
|浙海德曼|688577|机械设备|一级行业|申万行业分类|
|思看科技|688583|机械设备|一级行业|申万行业分类|
|正帆科技|688596|机械设备|一级行业|申万行业分类|
|皖仪科技|688600|机械设备|一级行业|申万行业分类|
|埃科光电|688610|机械设备|一级行业|申万行业分类|
|*ST禾信|688622|机械设备|一级行业|申万行业分类|
|双元科技|688623|机械设备|一级行业|申万行业分类|
|精智达|688627|机械设备|一级行业|申万行业分类|
|优利德|688628|机械设备|一级行业|申万行业分类|
|芯碁微装|688630|机械设备|一级行业|申万行业分类|
|星球石墨|688633|机械设备|一级行业|申万行业分类|
|逸飞激光|688646|机械设备|一级行业|申万行业分类|
|中邮科技|688648|机械设备|一级行业|申万行业分类|
|四方光电|688665|机械设备|一级行业|申万行业分类|
|奥普特|688686|机械设备|一级行业|申万行业分类|
|纽威数控|688697|机械设备|一级行业|申万行业分类|
|伟创电气|688698|机械设备|一级行业|申万行业分类|
|东威科技|688700|机械设备|一级行业|申万行业分类|
|容知日新|688768|机械设备|一级行业|申万行业分类|
|中控技术|688777|机械设备|一级行业|申万行业分类|
|宏华数科|688789|机械设备|一级行业|申万行业分类|
|联讯仪器|688808|机械设备|一级行业|申万行业分类|
|泰金新能|688813|机械设备|一级行业|申万行业分类|
|易思维|688816|机械设备|一级行业|申万行业分类|
|频准激光|688826|机械设备|一级行业|申万行业分类|
|国仪公司|688828|机械设备|一级行业|申万行业分类|
|高凯技术|688835|机械设备|一级行业|申万行业分类|
|宇树科技|688836|机械设备|一级行业|申万行业分类|
|先临三维|830978|机械设备|一级行业|申万行业分类|
|凯雪冷链|831463|机械设备|一级行业|申万行业分类|
|大亚股份|832532|机械设备|一级行业|申万行业分类|
|浙江国祥|833249|机械设备|一级行业|申万行业分类|
|奥图股份|833748|机械设备|一级行业|申万行业分类|
|沃镭智能|834419|机械设备|一级行业|申万行业分类|
|华卓精科|834733|机械设备|一级行业|申万行业分类|
|傲拓科技|834876|机械设备|一级行业|申万行业分类|
|晨泰科技|834948|机械设备|一级行业|申万行业分类|
|伊莱特|837192|机械设备|一级行业|申万行业分类|
|中导光电|839092|机械设备|一级行业|申万行业分类|
|科志股份|870804|机械设备|一级行业|申万行业分类|
|中机试验|872726|机械设备|一级行业|申万行业分类|
|威易发|872893|机械设备|一级行业|申万行业分类|
|科蓝环保|873254|机械设备|一级行业|申万行业分类|
|宇星股份|873688|机械设备|一级行业|申万行业分类|
|立洲精密|873994|机械设备|一级行业|申万行业分类|
|凯达重工|874025|机械设备|一级行业|申万行业分类|
|顶立科技|874127|机械设备|一级行业|申万行业分类|
|同富股份|874149|机械设备|一级行业|申万行业分类|
|天元重工|874158|机械设备|一级行业|申万行业分类|
|广泰真空|874200|机械设备|一级行业|申万行业分类|
|华茂精密|874233|机械设备|一级行业|申万行业分类|
|华晟智能|874236|机械设备|一级行业|申万行业分类|
|华剑智能|874317|机械设备|一级行业|申万行业分类|
|恒基金属|874320|机械设备|一级行业|申万行业分类|
|力克川|874321|机械设备|一级行业|申万行业分类|
|苏讯新材|874335|机械设备|一级行业|申万行业分类|
|世纪数码|874360|机械设备|一级行业|申万行业分类|
|祺龙海洋|874392|机械设备|一级行业|申万行业分类|
|德耐尔|874402|机械设备|一级行业|申万行业分类|
|振华海科|874419|机械设备|一级行业|申万行业分类|
|新涛智控|874494|机械设备|一级行业|申万行业分类|
|豪德数控|874530|机械设备|一级行业|申万行业分类|
|四维材料|874539|机械设备|一级行业|申万行业分类|
|邦正精机|874544|机械设备|一级行业|申万行业分类|
|辛帕智能|874567|机械设备|一级行业|申万行业分类|
|日信高科|874591|机械设备|一级行业|申万行业分类|
|星基智造|874642|机械设备|一级行业|申万行业分类|
|深鹏科技|874659|机械设备|一级行业|申万行业分类|
|德硕科技|874669|机械设备|一级行业|申万行业分类|
|吉宝股份|874671|机械设备|一级行业|申万行业分类|
|赛维达|874695|机械设备|一级行业|申万行业分类|
|图特股份|874697|机械设备|一级行业|申万行业分类|
|深达威|874729|机械设备|一级行业|申万行业分类|
|锐迈科技|874760|机械设备|一级行业|申万行业分类|
|腾信精密|874772|机械设备|一级行业|申万行业分类|
|中星联华|874777|机械设备|一级行业|申万行业分类|
|格兰达|874778|机械设备|一级行业|申万行业分类|
|朱炳仁铜|874779|机械设备|一级行业|申万行业分类|
|泰丰智能|874781|机械设备|一级行业|申万行业分类|
|森泰英格|874784|机械设备|一级行业|申万行业分类|
|芬尼股份|874785|机械设备|一级行业|申万行业分类|
|嘉泰激光|874786|机械设备|一级行业|申万行业分类|
|八环科技|874792|机械设备|一级行业|申万行业分类|
|铁近科技|874812|机械设备|一级行业|申万行业分类|
|森峰激光|874865|机械设备|一级行业|申万行业分类|
|佳宏新材|874867|机械设备|一级行业|申万行业分类|
|侨龙应急|874881|机械设备|一级行业|申万行业分类|
|青蛙泵业|874926|机械设备|一级行业|申万行业分类|
|中源技术|874978|机械设备|一级行业|申万行业分类|
|恒业股份|874989|机械设备|一级行业|申万行业分类|
|泽天春来|875017|机械设备|一级行业|申万行业分类|
|星邦智能|875022|机械设备|一级行业|申万行业分类|
|博涛智能|875058|机械设备|一级行业|申万行业分类|
|聚能磁体|875078|机械设备|一级行业|申万行业分类|
|万达轴承|920002|机械设备|一级行业|申万行业分类|
|卓兆点胶|920026|机械设备|一级行业|申万行业分类|
|交大铁发|920027|机械设备|一级行业|申万行业分类|
|精创电气|920035|机械设备|一级行业|申万行业分类|
|西磁科技|920061|机械设备|一级行业|申万行业分类|
|奥美森|920080|机械设备|一级行业|申万行业分类|
|方正阀门|920082|机械设备|一级行业|申万行业分类|
|大鹏工业|920091|机械设备|一级行业|申万行业分类|
|信胜科技|920093|机械设备|一级行业|申万行业分类|
|嘉晨智能|920096|机械设备|一级行业|申万行业分类|
|志高机械|920101|机械设备|一级行业|申万行业分类|
|巴兰仕|920112|机械设备|一级行业|申万行业分类|
|鸿仕达|920125|机械设备|一级行业|申万行业分类|
|永大股份|920126|机械设备|一级行业|申万行业分类|
|海昌智能|920156|机械设备|一级行业|申万行业分类|
|长江能科|920158|机械设备|一级行业|申万行业分类|
|七丰精工|920169|机械设备|一级行业|申万行业分类|
|五新智能|920174|机械设备|一级行业|申万行业分类|
|恒道科技|920177|机械设备|一级行业|申万行业分类|
|锐翔智能|920178|机械设备|一级行业|申万行业分类|
|新睿电子|920211|机械设备|一级行业|申万行业分类|
|荣亿精密|920223|机械设备|一级行业|申万行业分类|
|长鹰硬科|920238|机械设备|一级行业|申万行业分类|
|威博液压|920245|机械设备|一级行业|申万行业分类|
|中寰股份|920260|机械设备|一级行业|申万行业分类|
|灵鸽科技|920284|机械设备|一级行业|申万行业分类|
|莱赛激光|920363|机械设备|一级行业|申万行业分类|
|朗鸿科技|920395|机械设备|一级行业|申万行业分类|
|常辅股份|920396|机械设备|一级行业|申万行业分类|
|海希通讯|920405|机械设备|一级行业|申万行业分类|
|驰诚股份|920407|机械设备|一级行业|申万行业分类|
|乐创技术|920425|机械设备|一级行业|申万行业分类|
|汇隆活塞|920455|机械设备|一级行业|申万行业分类|
|三友科技|920475|机械设备|一级行业|申万行业分类|
|海能技术|920476|机械设备|一级行业|申万行业分类|
|九菱科技|920505|机械设备|一级行业|申万行业分类|
|同惠电子|920509|机械设备|一级行业|申万行业分类|
|丰光精密|920510|机械设备|一级行业|申万行业分类|
|铁大科技|920541|机械设备|一级行业|申万行业分类|
|凯腾精工|920553|机械设备|一级行业|申万行业分类|
|坤博精工|920570|机械设备|一级行业|申万行业分类|
|巨能股份|920578|机械设备|一级行业|申万行业分类|
|机科股份|920579|机械设备|一级行业|申万行业分类|
|鼎智科技|920593|机械设备|一级行业|申万行业分类|
|同力股份|920599|机械设备|一级行业|申万行业分类|
|丰安股份|920608|机械设备|一级行业|申万行业分类|
|天罡股份|920651|机械设备|一级行业|申万行业分类|
|方盛股份|920662|机械设备|一级行业|申万行业分类|
|前进科技|920679|机械设备|一级行业|申万行业分类|
|新芝生物|920685|机械设备|一级行业|申万行业分类|
|克莱特|920689|机械设备|一级行业|申万行业分类|
|阿为特|920693|机械设备|一级行业|申万行业分类|
|广厦环能|920703|机械设备|一级行业|申万行业分类|
|铁拓机械|920706|机械设备|一级行业|申万行业分类|
|瑞星股份|920717|机械设备|一级行业|申万行业分类|
|吉冈精密|920720|机械设备|一级行业|申万行业分类|
|惠丰钻石|920725|机械设备|一级行业|申万行业分类|
|瑞奇智造|920781|机械设备|一级行业|申万行业分类|
|奔朗新材|920807|机械设备|一级行业|申万行业分类|
|春光智能|920810|机械设备|一级行业|申万行业分类|
|美心翼申|920833|机械设备|一级行业|申万行业分类|
|万通液压|920839|机械设备|一级行业|申万行业分类|
|浙江大农|920855|机械设备|一级行业|申万行业分类|
|浩淼科技|920856|机械设备|一级行业|申万行业分类|
|恒进感应|920870|机械设备|一级行业|申万行业分类|
|基康技术|920879|机械设备|一级行业|申万行业分类|
|星辰科技|920885|机械设备|一级行业|申万行业分类|
|花溪科技|920895|机械设备|一级行业|申万行业分类|
|无锡鼎邦|920931|机械设备|一级行业|申万行业分类|
|恒立钻具|920942|机械设备|一级行业|申万行业分类|
|优机股份|920943|机械设备|一级行业|申万行业分类|
|迅安科技|920950|机械设备|一级行业|申万行业分类|
|创远信科|920961|机械设备|一级行业|申万行业分类|",2026-09-13T09:02:22.286132+08:00
