vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万医药生物行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|801150.SI|申万医药生物|300558.SZ|贝达药业|-|45.56|-0.57|-1.24|-|820.14|37036.21|4.23|192.87|2.50|113.70|医药制造业|2016-11-14|
|801150.SI|申万医药生物|300534.SZ|陇神戎发|-|12.17|-0.36|-2.87|-|2878.96|34809.01|3.03|36.92|1.80|21.92|医药制造业|2016-09-22|
|801150.SI|申万医药生物|300529.SZ|健帆生物|-|14.97|-0.25|-1.64|-|394.98|5913.77|7.99|119.55|4.10|61.43|专用设备制造业|2016-08-09|
|801150.SI|申万医药生物|300519.SZ|新光药业|-|13.85|-0.25|-1.77|-|271.72|3738.53|1.60|22.16|0.79|10.91|医药制造业|2016-07-01|
|801150.SI|申万医药生物|300497.SZ|富祥股份|-|20.02|0.04|0.20|-|3503.02|69610.75|5.39|107.84|4.06|81.20|医药制造业|2015-12-29|
|801150.SI|申万医药生物|300485.SZ|赛升药业|-|8.22|-0.24|-2.84|-|425.70|3500.82|4.82|39.59|2.10|17.25|医药制造业|2015-07-03|
|801150.SI|申万医药生物|300482.SZ|万孚生物|-|15.73|-0.43|-2.66|-|489.06|7729.93|4.68|73.64|2.60|40.84|医药制造业|2015-07-07|
|801150.SI|申万医药生物|300463.SZ|迈克生物|-|8.97|-0.21|-2.29|-|539.22|4836.59|6.05|54.24|4.55|40.81|医药制造业|2015-06-04|
|801150.SI|申万医药生物|300453.SZ|三鑫医疗|-|9.11|-0.02|-0.22|-|519.78|4720.19|5.22|47.56|3.16|28.77|专用设备制造业|2015-05-22|
|801150.SI|申万医药生物|300452.SZ|山河药辅|-|12.60|-0.29|-2.25|-|326.26|4116.79|2.34|29.54|1.52|19.12|医药制造业|2015-05-22|
|801150.SI|申万医药生物|300439.SZ|美康生物|-|9.19|-0.02|-0.22|-|457.70|4201.94|3.84|35.28|2.22|20.40|医药制造业|2015-04-29|
|801150.SI|申万医药生物|300436.SZ|广生堂|-|86.58|-2.15|-2.42|-|263.38|22831.94|1.68|145.48|0.81|70.49|医药制造业|2015-04-29|
|801150.SI|申万医药生物|300434.SZ|金石亚药|-|10.11|-0.30|-2.88|-|1131.43|11400.77|4.02|40.62|2.02|20.40|医药制造业|2018-07-16|
|801150.SI|申万医药生物|300430.SZ|*ST益通|-|4.65|0.11|2.42|-|1002.21|4580.27|2.73|12.70|1.94|9.02|专用设备制造业|2026-07-02|
|801150.SI|申万医药生物|300406.SZ|九强生物|-|11.25|-0.19|-1.66|-|384.45|4318.37|5.86|65.94|2.62|29.53|医药制造业|2014-11-06|
|801150.SI|申万医药生物|300404.SZ|博济医药|-|12.09|-0.26|-2.11|-|2879.06|34726.15|3.86|46.64|2.49|30.13|研究和试验发展|2015-05-04|
|801150.SI|申万医药生物|300401.SZ|花园生物|-|14.45|-0.51|-3.41|-|2230.52|32061.50|5.45|78.73|3.37|48.75|医药制造业|2014-10-16|
|801150.SI|申万医药生物|300396.SZ|ST迪瑞|-|6.94|-0.22|-3.07|-|390.05|2716.73|2.73|18.93|1.30|9.05|专用设备制造业|2014-09-17|
|801150.SI|申万医药生物|300381.SZ|溢多利|-|5.75|-0.12|-2.04|-|1621.59|9388.67|4.80|27.61|3.21|18.44|医药制造业|2014-02-11|
|801150.SI|申万医药生物|300363.SZ|博腾股份|-|20.44|-0.50|-2.39|-|1468.54|30028.78|5.43|111.08|3.19|65.21|医药制造业|2014-02-12|
|801150.SI|申万医药生物|300358.SZ|楚天科技|-|7.98|-0.14|-1.72|-|1355.85|10792.74|7.15|57.06|4.64|37.01|专用设备制造业|2014-01-28|
|801150.SI|申万医药生物|300357.SZ|我武生物|-|18.98|-0.45|-2.32|-|959.78|18222.34|5.24|99.38|2.71|51.44|医药制造业|2014-01-28|
|801150.SI|申万医药生物|300347.SZ|泰格医药|-|52.80|-1.01|-1.88|-|1334.06|69924.89|8.61|454.62|5.09|268.93|研究和试验发展|2012-08-24|
|801150.SI|申万医药生物|300341.SZ|麦克奥迪|-|12.49|-0.20|-1.58|-|283.94|3542.77|5.17|64.62|1.96|24.48|仪器仪表制造业|2023-07-06|
|801150.SI|申万医药生物|300326.SZ|ST凯利|-|6.16|-0.09|-1.44|-|673.23|4164.89|7.17|44.17|5.07|31.23|专用设备制造业|2012-06-20|
|801150.SI|申万医药生物|300318.SZ|博晖创新|-|4.90|-0.15|-2.97|-|676.61|3322.00|8.17|40.03|3.71|18.17|专用设备制造业|2012-05-30|
|801150.SI|申万医药生物|300314.SZ|戴维医疗|-|10.91|-0.20|-1.80|-|548.74|5981.97|2.88|31.42|0.96|10.49|专用设备制造业|2012-05-15|
|801150.SI|申万医药生物|300298.SZ|三诺生物|-|15.18|-0.30|-1.94|-|318.35|4838.78|5.57|84.53|2.53|38.40|专用设备制造业|2012-03-26|
|801150.SI|申万医药生物|300294.SZ|博雅生物|-|14.13|-0.43|-2.95|-|623.96|8856.32|5.04|71.25|2.92|41.27|医药制造业|2012-03-15|
|801150.SI|申万医药生物|300289.SZ|利德曼|-|5.67|-0.11|-1.90|-|374.84|2126.61|5.44|30.85|2.91|16.50|医药制造业|2012-02-23|
|801150.SI|申万医药生物|300267.SZ|尔康制药|-|3.12|-0.10|-3.11|-|3274.71|10217.24|20.63|64.35|10.68|33.33|医药制造业|2011-10-11|
|801150.SI|申万医药生物|300255.SZ|常山药业|-|22.50|-0.32|-1.40|-|1388.11|31365.18|9.19|206.79|6.14|138.23|医药制造业|2011-08-26|
|801150.SI|申万医药生物|300254.SZ|仟源医药|-|8.45|-0.31|-3.54|-|1073.40|9058.77|2.57|21.73|2.22|18.75|医药制造业|2011-08-26|
|801150.SI|申万医药生物|300246.SZ|宝莱特|-|13.93|-0.46|-3.20|-|689.63|9589.45|2.65|36.88|1.87|26.11|专用设备制造业|2011-07-26|
|801150.SI|申万医药生物|300244.SZ|迪安诊断|-|16.99|-0.32|-1.85|-|1577.49|26681.96|6.25|106.18|4.40|74.72|卫生|2011-07-26|
|801150.SI|申万医药生物|300239.SZ|东宝生物|-|4.93|-0.14|-2.76|-|814.84|4026.48|5.94|29.27|3.85|18.97|医药制造业|2011-07-13|
|801150.SI|申万医药生物|300238.SZ|冠昊生物|-|10.86|-0.30|-2.69|-|370.54|4040.24|2.65|28.80|1.95|21.15|专用设备制造业|2011-07-13|
|801150.SI|申万医药生物|300233.SZ|金城医药|-|12.66|-0.24|-1.86|-|701.13|8863.99|3.84|48.60|2.85|36.11|医药制造业|2011-06-29|
|801150.SI|申万医药生物|300206.SZ|理邦仪器|-|11.18|-0.22|-1.93|-|468.67|5248.26|5.80|64.81|2.58|28.84|专用设备制造业|2011-04-28|
|801150.SI|申万医药生物|300204.SZ|舒泰神|-|19.68|-0.44|-2.19|-|1084.82|21318.44|5.41|106.54|2.84|55.81|医药制造业|2011-04-22|
|801150.SI|申万医药生物|300199.SZ|翰宇药业|-|22.77|-0.48|-2.06|-|3090.29|70231.66|8.83|201.11|6.70|152.49|医药制造业|2011-04-14|
|801150.SI|申万医药生物|300194.SZ|福安药业|-|3.81|-0.07|-1.80|-|1181.43|4492.90|11.90|45.33|8.93|34.02|医药制造业|2011-03-29|
|801150.SI|申万医药生物|300181.SZ|佐力药业|-|13.17|-0.30|-2.23|-|1055.51|13924.11|7.01|92.37|5.48|72.20|医药制造业|2011-03-01|
|801150.SI|申万医药生物|300171.SZ|东富龙|-|12.85|-0.47|-3.53|-|1126.67|14542.99|7.66|98.41|3.78|48.53|专用设备制造业|2021-12-13|
|801150.SI|申万医药生物|300158.SZ|振东制药|-|5.06|-0.17|-3.25|-|1426.58|7271.51|9.92|50.21|6.87|34.77|医药制造业|2011-01-14|
|801150.SI|申万医药生物|300149.SZ|睿智医药|-|8.74|-0.23|-2.56|-|1382.20|12062.42|5.05|44.14|4.24|37.04|研究和试验发展|2019-05-16|
|801150.SI|申万医药生物|300147.SZ|*ST香雪|-|6.43|-0.18|-2.72|-|830.31|5415.24|6.61|42.52|5.08|32.68|医药制造业|2010-12-22|
|801150.SI|申万医药生物|300143.SZ|盈康生命|-|7.28|-0.16|-2.15|-|618.78|4493.55|9.73|70.83|4.75|34.56|卫生|2018-07-16|
|801150.SI|申万医药生物|300142.SZ|沃森生物|-|13.09|0.09|0.69|-|7686.11|101585.91|15.99|209.35|15.78|206.54|医药制造业|2010-11-12|
|801150.SI|申万医药生物|300122.SZ|智飞生物|-|12.61|-0.15|-1.18|-|3358.93|41839.79|23.94|301.86|10.88|137.17|医药制造业|2010-10-12|
|801150.SI|申万医药生物|300111.SZ|向日葵|-|3.01|-0.06|-1.95|-|2965.65|8877.28|12.87|38.75|8.96|26.97|医药制造业|2022-08-01|
|801150.SI|申万医药生物|300110.SZ|华仁药业|-|2.74|-0.08|-2.84|-|1749.78|4814.26|11.82|32.39|9.13|25.01|医药制造业|2010-09-01|
|801150.SI|申万医药生物|300086.SZ|康芝药业|-|6.34|-0.24|-3.65|-|1378.45|8774.27|4.55|28.85|2.85|18.09|医药制造业|2010-06-02|
|801150.SI|申万医药生物|300049.SZ|福瑞医科|-|44.51|-0.80|-1.77|-|876.60|38867.62|2.64|117.50|2.12|94.50|专用设备制造业|2010-01-27|
|801150.SI|申万医药生物|300039.SZ|上海凯宝|-|5.07|-0.15|-2.87|-|1653.30|8410.40|10.46|53.03|6.34|32.14|医药制造业|2010-01-08|
|801150.SI|申万医药生物|300030.SZ|阳普医疗|-|6.62|-0.19|-2.79|-|517.63|3438.46|3.09|20.47|1.99|13.14|专用设备制造业|2010-01-04|
|801150.SI|申万医药生物|300026.SZ|红日药业|-|3.20|-0.07|-2.14|-|3922.47|12532.89|30.04|96.13|20.33|65.05|医药制造业|2009-10-30|
|801150.SI|申万医药生物|300016.SZ|北陆药业|-|7.98|-0.17|-2.09|-|1665.55|13287.78|5.82|46.42|4.27|34.10|医药制造业|2009-10-30|
|801150.SI|申万医药生物|300015.SZ|爱尔眼科|-|8.06|-0.11|-1.35|-|4918.25|39621.59|93.00|749.54|42.19|340.04|卫生|2009-10-30|
|801150.SI|申万医药生物|300009.SZ|安科生物|-|7.99|-0.15|-1.84|-|2273.06|18138.30|16.71|133.49|10.91|87.13|医药制造业|2009-10-30|
|801150.SI|申万医药生物|300006.SZ|莱美药业|-|5.12|-0.01|-0.19|-|2426.39|12275.86|10.56|54.06|6.58|33.68|医药制造业|2009-10-30|
|801150.SI|申万医药生物|300003.SZ|乐普医疗|-|11.18|-0.09|-0.80|-|1521.82|16991.66|18.43|206.09|11.21|125.34|专用设备制造业|2009-10-30|
|801150.SI|申万医药生物|003020.SZ|立方制药|-|16.47|-0.46|-2.72|-|278.76|4594.57|2.28|37.59|1.02|16.80|医药制造业|2020-12-22|
|801150.SI|申万医药生物|002950.SZ|奥美医疗|-|8.58|-0.16|-1.83|-|482.17|4145.99|6.33|54.33|2.38|20.41|医药制造业|2019-03-18|
|801150.SI|申万医药生物|002940.SZ|昂利康|-|23.09|-1.00|-4.15|-|849.51|19696.29|2.02|46.58|1.06|24.57|医药制造业|2018-10-30|
|801150.SI|申万医药生物|002932.SZ|*ST明德|-|15.19|-0.15|-0.98|-|110.69|1686.52|2.33|35.32|1.29|19.52|医药制造业|2018-07-17|
|801150.SI|申万医药生物|002923.SZ|润都股份|-|10.64|-0.25|-2.30|-|458.79|4890.39|3.35|35.63|1.58|16.83|医药制造业|2018-01-12|
|801150.SI|申万医药生物|002907.SZ|华森制药|-|13.07|-0.51|-3.76|-|923.16|12152.74|4.18|54.58|1.22|15.88|医药制造业|2017-10-27|
|801150.SI|申万医药生物|002901.SZ|大博医疗|-|38.70|-1.13|-2.84|-|125.66|4882.22|4.14|160.23|0.65|25.24|专用设备制造业|2017-09-29|
|801150.SI|申万医药生物|002900.SZ|哈三联|-|11.64|-0.31|-2.59|-|724.58|8396.82|3.16|36.82|1.09|12.75|医药制造业|2017-09-29|
|801150.SI|申万医药生物|002880.SZ|卫光生物|-|20.55|-0.98|-4.55|-|249.77|5162.43|2.27|46.61|0.60|12.27|医药制造业|2017-06-23|
|801150.SI|申万医药生物|002873.SZ|新天药业|-|8.20|-0.18|-2.15|-|446.92|3655.44|2.44|20.02|1.78|14.61|医药制造业|2017-05-26|
|801150.SI|申万医药生物|002872.SZ|ST天圣|-|5.77|-0.07|-1.20|-|321.28|1858.35|3.18|18.35|1.95|11.28|医药制造业|2017-05-26|
|801150.SI|申万医药生物|002864.SZ|盘龙药业|-|20.55|-0.55|-2.61|-|206.16|4243.82|1.37|28.09|0.86|17.66|医药制造业|2017-11-23|
|801150.SI|申万医药生物|002826.SZ|易明医药|-|17.12|-0.58|-3.28|-|335.25|5751.67|1.91|32.64|1.39|23.87|医药制造业|2016-12-16|
|801150.SI|申万医药生物|002821.SZ|凯莱英|-|164.13|-6.23|-3.66|-|741.64|121787.54|3.61|591.96|1.97|322.55|医药制造业|2016-11-25|
|801150.SI|申万医药生物|002817.SZ|黄山胶囊|-|6.57|-0.17|-2.52|-|454.88|2978.10|2.99|19.65|1.71|11.24|医药制造业|2016-11-01|
|801150.SI|申万医药生物|002793.SZ|罗欣药业|-|4.50|-0.09|-1.96|-|1838.69|8220.66|10.88|48.94|6.10|27.45|医药制造业|2020-06-03|
|801150.SI|申万医药生物|002788.SZ|鹭燕医药|-|10.63|-0.53|-4.75|-|1437.75|15368.62|3.89|41.30|2.27|24.08|批发业|2016-02-25|
|801150.SI|申万医药生物|002773.SZ|康弘药业|-|19.01|-0.65|-3.31|-|634.27|12120.42|9.21|175.14|2.81|53.42|医药制造业|2015-07-03|
|801150.SI|申万医药生物|002755.SZ|奥赛康|-|11.12|-0.51|-4.39|-|993.07|11130.86|9.28|103.21|2.81|31.24|医药制造业|2019-07-08|
|801150.SI|申万医药生物|002742.SZ|冀衡医药|-|4.25|-0.12|-2.75|-|2809.53|11910.90|6.84|29.07|3.86|16.41|非金属矿物制品业|2022-08-01|
|801150.SI|申万医药生物|002737.SZ|葵花药业|-|11.43|-0.14|-1.21|-|339.77|3879.77|5.84|66.75|2.60|29.67|医药制造业|2015-01-08|
|801150.SI|申万医药生物|002728.SZ|特一药业|-|9.09|-0.15|-1.62|-|1308.44|11849.18|5.13|46.66|3.02|27.48|医药制造业|2014-08-07|
|801150.SI|申万医药生物|002727.SZ|一心堂|-|10.89|-0.19|-1.71|-|439.04|4780.10|5.86|63.77|3.00|32.69|零售业|2014-07-09|
|801150.SI|申万医药生物|002693.SZ|双成药业|-|8.48|-0.07|-0.82|-|925.55|7795.88|4.15|35.17|2.08|17.67|医药制造业|2012-08-15|
|801150.SI|申万医药生物|002675.SZ|东诚药业|-|12.43|-0.08|-0.64|-|552.75|6883.49|8.25|102.50|5.77|71.77|医药制造业|2012-05-31|
|801150.SI|申万医药生物|002653.SZ|海思科|-|62.59|-0.01|-0.02|-|349.52|21751.85|11.41|714.08|2.69|168.38|医药制造业|2012-01-31|
|801150.SI|申万医药生物|002644.SZ|佛慈制药|-|8.39|-0.19|-2.21|-|557.41|4674.25|5.11|42.84|1.92|16.10|医药制造业|2011-12-29|
|801150.SI|申万医药生物|002622.SZ|皓宸医疗|-|2.55|-0.05|-1.92|-|1907.05|4845.48|8.40|21.42|6.40|16.32|卫生|2023-07-06|
|801150.SI|申万医药生物|002603.SZ|以岭药业|-|15.19|-0.23|-1.49|-|1239.73|18831.19|16.71|253.78|6.08|92.31|医药制造业|2011-08-04|
|801150.SI|申万医药生物|002589.SZ|瑞康医药|-|3.05|-0.10|-3.17|-|6151.13|18757.38|15.05|45.89|10.48|31.95|批发业|2011-06-17|
|801150.SI|申万医药生物|002581.SZ|*ST未名|-|5.34|-0.12|-2.20|-|527.53|2785.99|6.60|35.23|3.46|18.47|医药制造业|2016-07-01|
|801150.SI|申万医药生物|002566.SZ|益盛药业|-|6.96|-0.21|-2.93|-|724.70|5045.12|3.31|23.03|2.00|13.90|医药制造业|2011-03-25|
