vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万医药生物行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|801150.SI|申万医药生物|002551.SZ|尚荣医疗|-|3.27|-0.03|-0.91|-|1084.41|3538.33|8.45|27.65|5.20|17.00|专用设备制造业|2011-03-04|
|801150.SI|申万医药生物|002550.SZ|千红制药|-|6.31|-0.29|-4.39|-|1913.39|12171.15|12.80|80.76|8.26|52.13|医药制造业|2011-02-25|
|801150.SI|申万医药生物|002524.SZ|光正眼科|-|4.00|-0.08|-1.96|-|1321.60|5261.87|5.15|20.61|3.80|15.20|卫生|2019-07-08|
|801150.SI|申万医药生物|002462.SZ|嘉事堂|-|11.95|-0.27|-2.21|-|193.56|2317.57|2.92|34.86|1.70|20.28|批发业|2010-08-25|
|801150.SI|申万医药生物|002437.SZ|誉衡药业|-|3.47|-0.08|-2.25|-|25972.25|90132.83|22.30|77.38|18.39|63.82|医药制造业|2010-06-30|
|801150.SI|申万医药生物|002432.SZ|九安医疗|-|61.40|-0.99|-1.59|-|1483.22|90582.51|4.66|286.24|3.14|192.65|专用设备制造业|2010-06-22|
|801150.SI|申万医药生物|002424.SZ|ST百灵|-|4.50|-0.12|-2.60|-|1029.23|4660.62|13.86|62.35|9.75|43.87|医药制造业|2010-06-10|
|801150.SI|申万医药生物|002422.SZ|科伦药业|-|39.35|-0.79|-1.97|-|1172.99|46111.46|15.91|625.97|9.96|391.77|医药制造业|2010-06-10|
|801150.SI|申万医药生物|002412.SZ|汉森制药|-|8.81|-0.24|-2.65|-|4295.54|37714.29|5.03|44.33|2.86|25.18|医药制造业|2010-06-01|
|801150.SI|申万医药生物|002399.SZ|海普瑞|-|9.48|-0.34|-3.46|-|441.92|4211.65|14.67|139.10|2.63|24.96|医药制造业|2010-05-13|
|801150.SI|申万医药生物|002393.SZ|力生制药|-|13.51|-0.41|-2.95|-|305.43|4140.00|3.08|41.65|1.41|18.99|医药制造业|2010-04-23|
|801150.SI|申万医药生物|002390.SZ|信邦制药|-|2.96|-0.07|-2.31|-|2768.10|8198.42|19.44|57.54|10.61|31.40|批发业|2010-04-16|
|801150.SI|申万医药生物|002382.SZ|蓝帆医疗|-|5.89|-0.09|-1.51|-|1055.74|6194.33|10.08|59.35|7.38|43.44|橡胶和塑料制品业|2019-01-22|
|801150.SI|申万医药生物|002370.SZ|亚太药业|-|5.17|-0.20|-3.72|-|1839.99|9519.02|7.46|38.55|5.93|30.67|医药制造业|2010-03-23|
|801150.SI|申万医药生物|002365.SZ|永安药业|-|13.62|-0.36|-2.58|-|2959.17|39597.48|2.95|40.14|2.20|30.03|医药制造业|2010-03-05|
|801150.SI|申万医药生物|002349.SZ|精华制药|-|8.01|-0.50|-5.88|-|8879.37|71364.13|8.31|66.57|5.03|40.32|医药制造业|2010-02-10|
|801150.SI|申万医药生物|002332.SZ|仙琚制药|-|8.54|-0.19|-2.18|-|1105.34|9477.42|9.89|84.48|7.72|65.97|医药制造业|2010-01-19|
|801150.SI|申万医药生物|002317.SZ|众生药业|-|23.39|-0.83|-3.43|-|1778.44|42005.40|8.50|198.80|6.51|152.25|医药制造业|2009-12-11|
|801150.SI|申万医药生物|002294.SZ|信立泰|-|30.07|-0.97|-3.13|-|1218.73|36832.25|11.15|335.23|4.56|137.05|医药制造业|2009-09-17|
|801150.SI|申万医药生物|002287.SZ|奇正藏药|-|19.34|-0.42|-2.13|-|193.00|3734.64|5.72|110.65|1.08|20.90|医药制造业|2009-08-28|
|801150.SI|申万医药生物|002275.SZ|桂林三金|-|12.24|-0.06|-0.49|-|219.31|2684.06|5.88|71.92|1.50|18.36|医药制造业|2009-07-10|
|801150.SI|申万医药生物|002262.SZ|恩华药业|-|21.44|-0.41|-1.88|-|736.15|15844.30|10.13|217.18|5.22|111.88|医药制造业|2008-07-30|
|801150.SI|申万医药生物|002252.SZ|上海莱士|-|4.89|-0.11|-2.20|-|4788.02|23458.50|65.93|322.38|37.87|185.17|医药制造业|2008-06-30|
|801150.SI|申万医药生物|002223.SZ|鱼跃医疗|-|25.35|-0.06|-0.24|-|594.27|14991.26|10.02|254.13|5.74|145.39|专用设备制造业|2008-04-18|
|801150.SI|申万医药生物|002219.SZ|新里程|-|2.11|-0.04|-1.86|-|10262.35|21473.21|34.52|72.84|21.01|44.33|卫生|2022-06-24|
|801150.SI|申万医药生物|002198.SZ|ST嘉应|-|3.63|-0.08|-2.16|-|491.70|1789.55|5.08|18.42|3.75|13.60|医药制造业|2007-12-18|
|801150.SI|申万医药生物|002173.SZ|创新医疗|-|17.28|-0.44|-2.48|-|1642.24|28210.32|4.41|76.25|3.29|56.84|卫生|2018-07-16|
|801150.SI|申万医药生物|002172.SZ|澳洋健康|-|4.56|-0.21|-4.40|-|17846.24|80474.58|7.66|34.92|5.13|23.37|卫生|2022-08-01|
|801150.SI|申万医药生物|002107.SZ|沃华医药|-|6.74|-0.20|-2.88|-|1849.57|12482.12|5.77|38.90|2.78|18.74|医药制造业|2007-01-24|
|801150.SI|申万医药生物|002102.SZ|ST能特|-|2.71|0.03|1.12|-|2151.77|5777.90|24.16|65.48|14.48|39.23|医药制造业|2017-12-27|
|801150.SI|申万医药生物|002099.SZ|海翔药业|-|5.29|0.08|1.54|-|2602.64|13746.90|16.19|85.63|9.63|50.96|医药制造业|2006-12-26|
|801150.SI|申万医药生物|002082.SZ|ST万邦|-|8.98|-0.21|-2.29|-|796.05|7100.22|6.12|54.93|3.03|27.20|医药制造业|2022-08-01|
|801150.SI|申万医药生物|002044.SZ|美年健康|-|4.52|-0.10|-2.16|-|6293.37|28426.87|39.14|176.92|28.66|129.53|卫生|2016-07-01|
|801150.SI|申万医药生物|002038.SZ|双鹭药业|-|5.64|-0.10|-1.74|-|1647.64|9247.66|10.27|57.94|6.34|35.78|医药制造业|2004-09-09|
|801150.SI|申万医药生物|002030.SZ|达安基因|-|5.28|-0.13|-2.40|-|1634.52|8634.79|14.03|74.10|9.49|50.12|医药制造业|2004-08-09|
|801150.SI|申万医药生物|002022.SZ|科华生物|-|5.66|-0.09|-1.57|-|634.71|3588.39|5.14|29.11|4.18|23.68|医药制造业|2004-07-21|
|801150.SI|申万医药生物|002020.SZ|京新药业|-|11.30|-0.38|-3.25|-|1506.71|17095.61|8.61|97.30|5.22|58.96|医药制造业|2004-07-15|
|801150.SI|申万医药生物|002019.SZ|亿帆医药|-|9.20|-0.26|-2.75|-|1215.78|11257.68|12.16|111.91|6.94|63.81|医药制造业|2007-07-02|
|801150.SI|申万医药生物|002007.SZ|华兰生物|-|12.80|-0.36|-2.74|-|1978.63|25456.67|18.26|233.69|8.74|111.85|医药制造业|2004-06-25|
|801150.SI|申万医药生物|002004.SZ|华邦健康|-|4.37|-0.19|-4.17|-|6369.60|27916.46|19.80|86.52|14.15|61.82|化学原料和化学制品制造业|2021-12-13|
|801150.SI|申万医药生物|001367.SZ|海森药业|-|19.71|-0.22|-1.10|-|148.24|2903.79|1.52|30.03|0.41|8.09|医药制造业|2023-04-17|
|801150.SI|申万医药生物|000999.SZ|华润三九|-|23.89|-0.51|-2.09|-|994.73|23856.67|16.64|397.58|5.70|136.19|医药制造业|2000-03-09|
|801150.SI|申万医药生物|000989.SZ|九芝堂|-|8.56|-0.17|-1.95|-|1530.52|13090.94|8.56|73.27|5.05|43.22|医药制造业|2000-06-28|
|801150.SI|申万医药生物|000963.SZ|华东医药|-|26.26|-0.36|-1.35|-|1019.74|26733.95|17.54|460.53|7.34|192.77|零售业|2000-01-27|
|801150.SI|申万医药生物|000953.SZ|中哲精化|-|5.96|-0.26|-4.18|-|962.67|5747.74|3.66|21.82|2.42|14.40|医药制造业|2022-08-01|
|801150.SI|申万医药生物|000952.SZ|广济药业|-|6.42|-0.12|-1.83|-|557.23|3557.54|3.44|22.08|2.52|16.16|医药制造业|1999-11-12|
|801150.SI|申万医药生物|000950.SZ|重药控股|-|5.19|-0.10|-1.89|-|1976.91|10247.17|17.13|88.89|7.40|38.38|批发业|2019-07-08|
|801150.SI|申万医药生物|000931.SZ|中关村|-|4.37|-0.07|-1.58|-|1946.08|8475.42|7.53|32.91|5.06|22.12|医药制造业|2019-07-08|
|801150.SI|申万医药生物|000919.SZ|金陵药业|-|6.47|-0.17|-2.56|-|909.25|5889.15|6.22|40.24|3.23|20.92|医药制造业|1999-11-18|
|801150.SI|申万医药生物|000915.SZ|华特达因|-|24.72|-0.41|-1.63|-|1359.73|33239.19|2.34|57.93|1.60|39.52|医药制造业|2011-10-10|
|801150.SI|申万医药生物|000908.SZ|石药景峰|-|6.24|-0.01|-0.16|-|1343.31|8268.55|17.60|109.80|6.66|41.58|医药制造业|2026-03-12|
|801150.SI|申万医药生物|000813.SZ|德展健康|-|3.38|0.02|0.60|-|5219.66|17544.14|20.97|70.88|14.31|48.35|医药制造业|2018-09-05|
|801150.SI|申万医药生物|000790.SZ|华神科技|-|3.99|-0.12|-2.92|-|1260.54|5032.35|6.24|24.89|5.11|20.40|医药制造业|1998-03-27|
|801150.SI|申万医药生物|000788.SZ|北大医药|-|5.37|-0.11|-2.01|-|1484.46|7965.10|5.96|32.00|4.17|22.42|医药制造业|1997-06-16|
|801150.SI|申万医药生物|000766.SZ|通化金马|-|16.05|0.02|0.12|-|1400.72|22129.37|9.66|155.12|7.56|121.28|医药制造业|1997-04-30|
|801150.SI|申万医药生物|000756.SZ|新华制药|-|12.81|-0.32|-2.44|-|813.53|10423.98|6.97|89.25|2.57|32.91|医药制造业|1997-08-06|
|801150.SI|申万医药生物|000739.SZ|普洛药业|-|21.94|-0.19|-0.86|-|1596.25|34655.35|11.58|254.16|5.44|119.32|医药制造业|2014-09-29|
|801150.SI|申万医药生物|000710.SZ|贝瑞基因|-|8.41|-0.17|-1.98|-|868.10|7273.48|3.54|29.73|2.59|21.81|专业技术服务业|2018-07-16|
|801150.SI|申万医药生物|000705.SZ|浙江震元|-|7.04|-0.16|-2.22|-|596.75|4201.75|3.34|23.52|2.49|17.53|批发业|1997-04-10|
|801150.SI|申万医药生物|000661.SZ|长春高新|-|71.46|-1.74|-2.38|-|432.35|30883.38|4.08|291.51|2.91|207.79|医药制造业|1996-12-18|
|801150.SI|申万医药生物|000650.SZ|仁和药业|-|5.21|-0.13|-2.43|-|1930.85|10078.11|14.00|72.94|9.48|49.41|医药制造业|2007-06-12|
|801150.SI|申万医药生物|000623.SZ|吉林敖东|-|17.65|-0.55|-3.02|-|1690.81|29851.24|11.96|211.08|8.58|151.41|医药制造业|2014-07-02|
|801150.SI|申万医药生物|000597.SZ|东北制药|-|4.71|-0.10|-2.08|-|1561.15|7324.30|14.27|67.21|5.95|28.03|医药制造业|1996-05-23|
|801150.SI|申万医药生物|000590.SZ|古汉医药|-|9.06|-0.21|-2.27|-|284.50|2581.57|2.39|21.70|1.27|11.54|医药制造业|1996-01-19|
|801150.SI|申万医药生物|000566.SZ|海南海药|-|4.68|-0.11|-2.30|-|4640.66|21563.87|12.97|60.72|10.00|46.78|医药制造业|1994-05-25|
|801150.SI|申万医药生物|000538.SZ|云南白药|-|50.40|0.00|0.00|-|778.55|39156.16|17.84|899.27|7.22|364.01|医药制造业|1993-12-15|
|801150.SI|申万医药生物|000534.SZ|万泽股份|-|24.02|-0.92|-3.69|-|1460.77|34873.56|5.10|122.39|3.35|80.41|医药制造业|2020-07-24|
|801150.SI|申万医药生物|000518.SZ|四环生物|-|3.70|-0.09|-2.37|-|2341.31|8695.49|10.30|38.09|6.64|24.57|医药制造业|2011-10-10|
|801150.SI|申万医药生物|000516.SZ|国际医学|-|4.35|0.05|1.16|-|3569.81|15352.15|22.39|97.39|15.65|68.06|卫生|2019-05-16|
|801150.SI|申万医药生物|000513.SZ|丽珠集团|-|26.62|-0.68|-2.49|-|890.93|23829.60|8.88|236.36|3.29|87.70|医药制造业|1993-10-28|
|801150.SI|申万医药生物|000504.SZ|南华生物|-|8.32|-0.38|-4.37|-|537.78|4486.46|3.30|27.46|1.16|9.62|科技推广和应用服务业|2019-07-08|
|801150.SI|申万医药生物|000423.SZ|东阿阿胶|-|45.84|-0.28|-0.61|-|544.31|24889.43|6.40|293.30|4.22|193.31|医药制造业|1996-07-29|
|801150.SI|申万医药生物|000411.SZ|英特集团|-|9.80|-0.22|-2.20|-|350.29|3447.09|5.65|55.36|1.75|17.16|批发业|2011-10-10|
|801150.SI|申万医药生物|000403.SZ|派林生物|-|10.03|-0.30|-2.90|-|582.74|5863.07|9.50|95.32|5.64|56.53|医药制造业|2013-02-18|
|801150.SI|申万医药生物|000153.SZ|丰原药业|-|6.08|-0.17|-2.72|-|859.14|5237.56|4.65|28.25|3.31|20.14|医药制造业|2000-09-20|
|801150.SI|申万医药生物|000078.SZ|ST海王|-|1.57|0.05|3.29|-|9004.26|13884.49|26.31|41.31|14.10|22.13|批发业|1998-12-18|
|801150.SI|申万医药生物|000028.SZ|国药一致|-|19.80|-0.36|-1.79|-|228.92|4545.49|6.12|121.22|1.83|36.22|批发业|2001-09-03|",2026-09-13T08:58:46.784523+08:00
