vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万有色金属行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|中国铝业|601600|有色金属|一级行业|申万行业分类|
|金田股份|601609|有色金属|一级行业|申万行业分类|
|明泰铝业|601677|有色金属|一级行业|申万行业分类|
|华峰铝业|601702|有色金属|一级行业|申万行业分类|
|紫金矿业|601899|有色金属|一级行业|申万行业分类|
|金钼股份|601958|有色金属|一级行业|申万行业分类|
|福达合金|603045|有色金属|一级行业|申万行业分类|
|天和磁材|603072|有色金属|一级行业|申万行业分类|
|江南新材|603124|有色金属|一级行业|申万行业分类|
|金徽股份|603132|有色金属|一级行业|申万行业分类|
|永杰新材|603271|有色金属|一级行业|申万行业分类|
|永杉锂业|603399|有色金属|一级行业|申万行业分类|
|长裕集团|603407|有色金属|一级行业|申万行业分类|
|众源新材|603527|有色金属|一级行业|申万行业分类|
|华友钴业|603799|有色金属|一级行业|申万行业分类|
|鼎胜新材|603876|有色金属|一级行业|申万行业分类|
|丽岛新材|603937|有色金属|一级行业|申万行业分类|
|深圳新星|603978|有色金属|一级行业|申万行业分类|
|金诚信|603979|有色金属|一级行业|申万行业分类|
|洛阳钼业|603993|有色金属|一级行业|申万行业分类|
|华达新材|605158|有色金属|一级行业|申万行业分类|
|永茂泰|605208|有色金属|一级行业|申万行业分类|
|博迁新材|605376|有色金属|一级行业|申万行业分类|
|大地熊|688077|有色金属|一级行业|申万行业分类|
|斯瑞新材|688102|有色金属|一级行业|申万行业分类|
|云路股份|688190|有色金属|一级行业|申万行业分类|
|隆达股份|688231|有色金属|一级行业|申万行业分类|
|有研粉材|688456|有色金属|一级行业|申万行业分类|
|金天钛业|688750|有色金属|一级行业|申万行业分类|
|悦安新材|688786|有色金属|一级行业|申万行业分类|
|有研复材|688811|有色金属|一级行业|申万行业分类|
|安特磁材|874593|有色金属|一级行业|申万行业分类|
|天工股份|920068|有色金属|一级行业|申万行业分类|
|金钛股份|920071|有色金属|一级行业|申万行业分类|
|族兴新材|920078|有色金属|一级行业|申万行业分类|
|天力复合|920576|有色金属|一级行业|申万行业分类|
|新威凌|920634|有色金属|一级行业|申万行业分类|
|惠同新材|920751|有色金属|一级行业|申万行业分类|",2026-09-13T08:57:13.420302+08:00
