vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万国防军工行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|高凌信息|688175|国防军工|一级行业|申万行业分类|
|超卓航科|688237|国防军工|一级行业|申万行业分类|
|航宇科技|688239|国防军工|一级行业|申万行业分类|
|富吉瑞|688272|国防军工|一级行业|申万行业分类|
|华秦科技|688281|国防军工|一级行业|申万行业分类|
|理工导航|688282|国防军工|一级行业|申万行业分类|
|中无人机|688297|国防军工|一级行业|申万行业分类|
|盟升电子|688311|国防军工|一级行业|申万行业分类|
|国博电子|688375|国防军工|一级行业|申万行业分类|
|振华风光|688439|国防军工|一级行业|申万行业分类|
|航亚科技|688510|国防军工|一级行业|申万行业分类|
|天微电子|688511|国防军工|一级行业|申万行业分类|
|纳睿雷达|688522|国防军工|一级行业|申万行业分类|
|航天环宇|688523|国防军工|一级行业|申万行业分类|
|国科军工|688543|国防军工|一级行业|申万行业分类|
|航天南湖|688552|国防军工|一级行业|申万行业分类|
|航材股份|688563|国防军工|一级行业|申万行业分类|
|江航装备|688586|国防军工|一级行业|申万行业分类|
|华丰科技|688629|国防军工|一级行业|申万行业分类|
|智明达|688636|国防军工|一级行业|申万行业分类|
|霍莱沃|688682|国防军工|一级行业|申万行业分类|
|迈信林|688685|国防军工|一级行业|申万行业分类|
|佳驰科技|688708|国防军工|一级行业|申万行业分类|
|国光电气|688776|国防军工|一级行业|申万行业分类|
|科思科技|688788|国防军工|一级行业|申万行业分类|
|电科蓝天|688818|国防军工|一级行业|申万行业分类|
|晟楠科技|920006|国防军工|一级行业|申万行业分类|
|成电光信|920008|国防军工|一级行业|申万行业分类|
|通易航天|920642|国防军工|一级行业|申万行业分类|",2026-09-13T09:00:52.166205+08:00
