vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万食品饮料行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|香飘飘|603711|食品饮料|一级行业|申万行业分类|
|良品铺子|603719|食品饮料|一级行业|申万行业分类|
|日辰股份|603755|食品饮料|一级行业|申万行业分类|
|来伊份|603777|食品饮料|一级行业|申万行业分类|
|威龙股份|603779|食品饮料|一级行业|申万行业分类|
|桃李面包|603866|食品饮料|一级行业|申万行业分类|
|元祖股份|603886|食品饮料|一级行业|申万行业分类|
|金徽酒|603919|食品饮料|一级行业|申万行业分类|
|味知香|605089|食品饮料|一级行业|申万行业分类|
|一鸣食品|605179|食品饮料|一级行业|申万行业分类|
|佳禾食品|605300|食品饮料|一级行业|申万行业分类|
|李子园|605337|食品饮料|一级行业|申万行业分类|
|巴比食品|605338|食品饮料|一级行业|申万行业分类|
|南侨食品|605339|食品饮料|一级行业|申万行业分类|
|均瑶健康|605388|食品饮料|一级行业|申万行业分类|
|东鹏饮料|605499|食品饮料|一级行业|申万行业分类|
|春雪食品|605567|食品饮料|一级行业|申万行业分类|
|天地壹号|832898|食品饮料|一级行业|申万行业分类|
|南方乳业|874142|食品饮料|一级行业|申万行业分类|
|衡美健康|874251|食品饮料|一级行业|申万行业分类|
|幺麻子|874322|食品饮料|一级行业|申万行业分类|
|英氏控股|874431|食品饮料|一级行业|申万行业分类|
|菊乐股份|874569|食品饮料|一级行业|申万行业分类|
|玉健健康|874654|食品饮料|一级行业|申万行业分类|
|百川生物|874998|食品饮料|一级行业|申万行业分类|
|康比特|920429|食品饮料|一级行业|申万行业分类|
|朱老六|920726|食品饮料|一级行业|申万行业分类|
|骑士乳业|920786|食品饮料|一级行业|申万行业分类|
|盖世食品|920826|食品饮料|一级行业|申万行业分类|",2026-09-13T08:58:22.343215+08:00
