vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万电力设备行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|科大智能|300222|电力设备|一级行业|申万行业分类|
|通光线缆|300265|电力设备|一级行业|申万行业分类|
|阳光电源|300274|电力设备|一级行业|申万行业分类|
|温州宏丰|300283|电力设备|一级行业|申万行业分类|
|安科瑞|300286|电力设备|一级行业|申万行业分类|
|晶盛机电|300316|电力设备|一级行业|申万行业分类|
|科恒股份|300340|电力设备|一级行业|申万行业分类|
|华民股份|300345|电力设备|一级行业|申万行业分类|
|炬华科技|300360|电力设备|一级行业|申万行业分类|
|易事特|300376|电力设备|一级行业|申万行业分类|
|天华新能|300390|电力设备|一级行业|申万行业分类|
|中来股份|300393|电力设备|一级行业|申万行业分类|
|凯发电气|300407|电力设备|一级行业|申万行业分类|
|道氏技术|300409|电力设备|一级行业|申万行业分类|
|正业科技|300410|电力设备|一级行业|申万行业分类|
|昇辉科技|300423|电力设备|一级行业|申万行业分类|
|红相股份|300427|电力设备|一级行业|申万行业分类|
|富临精工|300432|电力设备|一级行业|申万行业分类|
|鹏辉能源|300438|电力设备|一级行业|申万行业分类|
|金雷股份|300443|电力设备|一级行业|申万行业分类|
|先导智能|300450|电力设备|一级行业|申万行业分类|
|赢合科技|300457|电力设备|一级行业|申万行业分类|
|华自科技|300490|电力设备|一级行业|申万行业分类|
|通合科技|300491|电力设备|一级行业|申万行业分类|
|金冠股份|300510|电力设备|一级行业|申万行业分类|
|友讯达|300514|电力设备|一级行业|申万行业分类|
|领湃科技|300530|电力设备|一级行业|申万行业分类|
|星源材质|300568|电力设备|一级行业|申万行业分类|
|天能重工|300569|电力设备|一级行业|申万行业分类|
|新雷能|300593|电力设备|一级行业|申万行业分类|
|安靠智电|300617|电力设备|一级行业|申万行业分类|
|金银河|300619|电力设备|一级行业|申万行业分类|
|华瑞股份|300626|电力设备|一级行业|申万行业分类|
|星云股份|300648|电力设备|一级行业|申万行业分类|
|江苏雷利|300660|电力设备|一级行业|申万行业分类|
|大烨智能|300670|电力设备|一级行业|申万行业分类|
|双一科技|300690|电力设备|一级行业|申万行业分类|
|盛弘股份|300693|电力设备|一级行业|申万行业分类|
|英可瑞|300713|电力设备|一级行业|申万行业分类|
|*ST泉为|300716|电力设备|一级行业|申万行业分类|
|捷佳伟创|300724|电力设备|一级行业|申万行业分类|
|宁德时代|300750|电力设备|一级行业|申万行业分类|
|迈为股份|300751|电力设备|一级行业|申万行业分类|
|锦浪科技|300763|电力设备|一级行业|申万行业分类|
|德方纳米|300769|电力设备|一级行业|申万行业分类|
|运达股份|300772|电力设备|一级行业|申万行业分类|
|帝尔激光|300776|电力设备|一级行业|申万行业分类|
|英杰电气|300820|电力设备|一级行业|申万行业分类|
|上能电气|300827|电力设备|一级行业|申万行业分类|
|帝科股份|300842|电力设备|一级行业|申万行业分类|
|新强联|300850|电力设备|一级行业|申万行业分类|
|申昊科技|300853|电力设备|一级行业|申万行业分类|
|欧陆通|300870|电力设备|一级行业|申万行业分类|
|迦南智能|300880|电力设备|一级行业|申万行业分类|
|万胜智能|300882|电力设备|一级行业|申万行业分类|
|翔丰华|300890|电力设备|一级行业|申万行业分类|
|威力传动|300904|电力设备|一级行业|申万行业分类|
|康平科技|300907|电力设备|一级行业|申万行业分类|
|中伟新材|300919|电力设备|一级行业|申万行业分类|
|三友联众|300932|电力设备|一级行业|申万行业分类|
|中辰股份|300933|电力设备|一级行业|申万行业分类|
|震裕科技|300953|电力设备|一级行业|申万行业分类|
|崧盛股份|301002|电力设备|一级行业|申万行业分类|
|扬电科技|301012|电力设备|一级行业|申万行业分类|
|奕帆传动|301023|电力设备|一级行业|申万行业分类|
|*ST仕净|301030|电力设备|一级行业|申万行业分类|
|中环海陆|301040|电力设备|一级行业|申万行业分类|
|久盛电气|301082|电力设备|一级行业|申万行业分类|
|新特电气|301120|电力设备|一级行业|申万行业分类|
|紫建电子|301121|电力设备|一级行业|申万行业分类|
|中一科技|301150|电力设备|一级行业|申万行业分类|
|天力锂能|301152|电力设备|一级行业|申万行业分类|
|海力风电|301155|电力设备|一级行业|申万行业分类|
|华塑科技|301157|电力设备|一级行业|申万行业分类|
|宏德股份|301163|电力设备|一级行业|申万行业分类|
|通灵股份|301168|电力设备|一级行业|申万行业分类|
|泽宇智能|301179|电力设备|一级行业|申万行业分类|
|金杨精密|301210|电力设备|一级行业|申万行业分类|
|铜冠铜箔|301217|电力设备|一级行业|申万行业分类|
|浙江恒威|301222|电力设备|一级行业|申万行业分类|
|祥明智能|301226|电力设备|一级行业|申万行业分类|
|飞沃科技|301232|电力设备|一级行业|申万行业分类|
|瑞泰新材|301238|电力设备|一级行业|申万行业分类|
|宇邦新材|301266|电力设备|一级行业|申万行业分类|
|快可电子|301278|电力设备|一级行业|申万行业分类|
|明阳电气|301291|电力设备|一级行业|申万行业分类|
|海科新源|301292|电力设备|一级行业|申万行业分类|
|美硕科技|301295|电力设备|一级行业|申万行业分类|
|曼恩斯特|301325|电力设备|一级行业|申万行业分类|
|华宝新能|301327|电力设备|一级行业|申万行业分类|
|信德新材|301349|电力设备|一级行业|申万行业分类|
|湖南裕能|301358|电力设备|一级行业|申万行业分类|
|众智科技|301361|电力设备|一级行业|申万行业分类|
|未来电器|301386|电力设备|一级行业|申万行业分类|
|欣灵电气|301388|电力设备|一级行业|申万行业分类|
|泓淋电力|301439|电力设备|一级行业|申万行业分类|
|盘古智能|301456|电力设备|一级行业|申万行业分类|
|盟固利|301487|电力设备|一级行业|申万行业分类|
|华阳智能|301502|电力设备|一级行业|申万行业分类|
|德福科技|301511|电力设备|一级行业|申万行业分类|
|尚水智能|301513|电力设备|一级行业|申万行业分类|
|中远通|301516|电力设备|一级行业|申万行业分类|
|常友科技|301557|电力设备|一级行业|申万行业分类|
|中瑞股份|301587|电力设备|一级行业|申万行业分类|
|优优绿能|301590|电力设备|一级行业|申万行业分类|
|理奇智能|301599|电力设备|一级行业|申万行业分类|
|山大电力|301609|电力设备|一级行业|申万行业分类|
|泽润新能|301636|电力设备|一级行业|申万行业分类|
|首航新能|301658|电力设备|一级行业|申万行业分类|
|宏工科技|301662|电力设备|一级行业|申万行业分类|
|昊创瑞通|301668|电力设备|一级行业|申万行业分类|
|高特电子|301669|电力设备|一级行业|申万行业分类|
|三瑞智能|301696|电力设备|一级行业|申万行业分类|
|贝特利|301697|电力设备|一级行业|申万行业分类|
|C洛轴|301699|电力设备|一级行业|申万行业分类|
|合纵科技|430018|电力设备|一级行业|申万行业分类|
|双杰电气|430049|电力设备|一级行业|申万行业分类|
|冠城新材|600067|电力设备|一级行业|申万行业分类|
|中船科技|600072|电力设备|一级行业|申万行业分类|
|特变电工|600089|电力设备|一级行业|申万行业分类|
|诺德股份|600110|电力设备|一级行业|申万行业分类|
|维科技术|600152|电力设备|一级行业|申万行业分类|
|长城电工|600192|电力设备|一级行业|申万行业分类|
|安彩高科|600207|电力设备|一级行业|申万行业分类|
|绿能慧充|600212|电力设备|一级行业|申万行业分类|
|时代万恒|600241|电力设备|一级行业|申万行业分类|
|国电南自|600268|电力设备|一级行业|申万行业分类|
|平高电气|600312|电力设备|一级行业|申万行业分类|
|宝光股份|600379|电力设备|一级行业|申万行业分类|
|动力源|600405|电力设备|一级行业|申万行业分类|
|国电南瑞|600406|电力设备|一级行业|申万行业分类|
|湘电股份|600416|电力设备|一级行业|申万行业分类|
|通威股份|600438|电力设备|一级行业|申万行业分类|
|百利电气|600468|电力设备|一级行业|申万行业分类|
|科力远|600478|电力设备|一级行业|申万行业分类|
|双良节能|600481|电力设备|一级行业|申万行业分类|
|中国动力|600482|电力设备|一级行业|申万行业分类|
|长园集团|600525|电力设备|一级行业|申万行业分类|
|*ST亿晶|600537|电力设备|一级行业|申万行业分类|
|保变电气|600550|电力设备|一级行业|申万行业分类|
|精达股份|600577|电力设备|一级行业|申万行业分类|
|卧龙电驱|600580|电力设备|一级行业|申万行业分类|
|泰豪科技|600590|电力设备|一级行业|申万行业分类|
|爱旭股份|600732|电力设备|一级行业|申万行业分类|
|万里股份|600847|电力设备|一级行业|申万行业分类|
|远东股份|600869|电力设备|一级行业|申万行业分类|
|东方电气|600875|电力设备|一级行业|申万行业分类|
|杉杉股份|600884|电力设备|一级行业|申万行业分类|
|宏发股份|600885|电力设备|一级行业|申万行业分类|
|宝胜股份|600973|电力设备|一级行业|申万行业分类|
|隆基绿能|601012|电力设备|一级行业|申万行业分类|
|四方股份|601126|电力设备|一级行业|申万行业分类|
|中国西电|601179|电力设备|一级行业|申万行业分类|
|吉鑫科技|601218|电力设备|一级行业|申万行业分类|
|林洋能源|601222|电力设备|一级行业|申万行业分类|
|骆驼股份|601311|电力设备|一级行业|申万行业分类|
|三星电气|601567|电力设备|一级行业|申万行业分类|
|明阳智能|601615|电力设备|一级行业|申万行业分类|
|广电电气|601616|电力设备|一级行业|申万行业分类|
|风范股份|601700|电力设备|一级行业|申万行业分类|
|上海电气|601727|电力设备|一级行业|申万行业分类|
|福莱特|601865|电力设备|一级行业|申万行业分类|
|正泰电器|601877|电力设备|一级行业|申万行业分类|
|新宏泰|603016|电力设备|一级行业|申万行业分类|
|石大胜华|603026|电力设备|一级行业|申万行业分类|
|安孚科技|603031|电力设备|一级行业|申万行业分类|
|德新科技|603032|电力设备|一级行业|申万行业分类|
|科林电气|603050|电力设备|一级行业|申万行业分类|
|禾望电气|603063|电力设备|一级行业|申万行业分类|
|万控智造|603070|电力设备|一级行业|申万行业分类|
|德力佳|603092|电力设备|一级行业|申万行业分类|
|江苏华辰|603097|电力设备|一级行业|申万行业分类|
|弘元绿能|603185|电力设备|一级行业|申万行业分类|
|望变电气|603191|电力设备|一级行业|申万行业分类|
|赛伍技术|603212|电力设备|一级行业|申万行业分类|
|日月股份|603218|电力设备|一级行业|申万行业分类|
|锡华科技|603248|电力设备|一级行业|申万行业分类|
|西典新能|603312|电力设备|一级行业|申万行业分类|
|迪贝电气|603320|电力设备|一级行业|申万行业分类|
|福华尚纬|603333|电力设备|一级行业|申万行业分类|
|星德胜|603344|电力设备|一级行业|申万行业分类|
|安乃达|603350|电力设备|一级行业|申万行业分类|
|华新精科|603370|电力设备|一级行业|申万行业分类|
|永臻股份|603381|电力设备|一级行业|申万行业分类|
|金辰股份|603396|电力设备|一级行业|申万行业分类|
|*ST沐邦|603398|电力设备|一级行业|申万行业分类|
|八方股份|603489|电力设备|一级行业|申万行业分类|
|振江股份|603507|电力设备|一级行业|申万行业分类|
|神马电力|603530|电力设备|一级行业|申万行业分类|
|海兴电力|603556|电力设备|一级行业|申万行业分类|
|汇金通|603577|电力设备|一级行业|申万行业分类|
|东方电缆|603606|电力设备|一级行业|申万行业分类|
|杭电股份|603618|电力设备|一级行业|申万行业分类|
|清源股份|603628|电力设备|一级行业|申万行业分类|
|璞泰来|603659|电力设备|一级行业|申万行业分类|
|鸣志电器|603728|电力设备|一级行业|申万行业分类|
|国晟科技|603778|电力设备|一级行业|申万行业分类|
|福斯特|603806|电力设备|一级行业|申万行业分类|
|神力股份|603819|电力设备|一级行业|申万行业分类|
|洛凯股份|603829|电力设备|一级行业|申万行业分类|
|白云电器|603861|电力设备|一级行业|申万行业分类|
|长城科技|603897|电力设备|一级行业|申万行业分类|
|龙蟠科技|603906|电力设备|一级行业|申万行业分类|
|恒润股份|603985|电力设备|一级行业|申万行业分类|
|中电电机|603988|电力设备|一级行业|申万行业分类|
|天正电气|605066|电力设备|一级行业|申万行业分类|
