vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万环保行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|恒誉科技|688309|环保|一级行业|申万行业分类|
|复洁科技|688335|环保|一级行业|申万行业分类|
|丛麟科技|688370|环保|一级行业|申万行业分类|
|美埃科技|688376|环保|一级行业|申万行业分类|
|金科环境|688466|环保|一级行业|申万行业分类|
|赛恩斯|688480|环保|一级行业|申万行业分类|
|青达环保|688501|环保|一级行业|申万行业分类|
|力源科技|688565|环保|一级行业|申万行业分类|
|碧兴物联|688671|环保|一级行业|申万行业分类|
|通源环境|688679|环保|一级行业|申万行业分类|
|卓锦股份|688701|环保|一级行业|申万行业分类|
|汉盛海装|837291|环保|一级行业|申万行业分类|
|华电光大|871633|环保|一级行业|申万行业分类|
|巍特环境|872709|环保|一级行业|申万行业分类|
|东实环境|874087|环保|一级行业|申万行业分类|
|中环洁|874175|环保|一级行业|申万行业分类|
|贵鑫环保|874369|环保|一级行业|申万行业分类|
|中煤环保|874401|环保|一级行业|申万行业分类|
|恒合股份|920145|环保|一级行业|申万行业分类|
|中航泰达|920263|环保|一级行业|申万行业分类|
|新安洁|920370|环保|一级行业|申万行业分类|
|保丽洁|920802|环保|一级行业|申万行业分类|",2026-09-13T09:02:45.742320+08:00
