vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万传媒行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|新经典|603096|传媒|一级行业|申万行业分类|
|横店影视|603103|传媒|一级行业|申万行业分类|
|内蒙新华|603230|传媒|一级行业|申万行业分类|
|电魂网络|603258|传媒|一级行业|申万行业分类|
|吉比特|603444|传媒|一级行业|申万行业分类|
|风语筑|603466|传媒|一级行业|申万行业分类|
|掌阅科技|603533|传媒|一级行业|申万行业分类|
|引力传媒|603598|传媒|一级行业|申万行业分类|
|纵横通信|603602|传媒|一级行业|申万行业分类|
|中广天择|603721|传媒|一级行业|申万行业分类|
|ST龙韵|603729|传媒|一级行业|申万行业分类|
|ST华扬|603825|传媒|一级行业|申万行业分类|
|新华网|603888|传媒|一级行业|申万行业分类|
|读者传媒|603999|传媒|一级行业|申万行业分类|
|三人行|605168|传媒|一级行业|申万行业分类|
|龙版传媒|605577|传媒|一级行业|申万行业分类|
|金万众|873534|传媒|一级行业|申万行业分类|
|玄机科技|874800|传媒|一级行业|申万行业分类|
|重数传媒|874811|传媒|一级行业|申万行业分类|
|流金科技|920021|传媒|一级行业|申万行业分类|",2026-09-13T09:01:15.107203+08:00
