vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万汽车行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|久祺股份|300994|汽车|一级行业|申万行业分类|
|宁波方正|300998|汽车|一级行业|申万行业分类|
|肇民科技|301000|汽车|一级行业|申万行业分类|
|超捷股份|301005|汽车|一级行业|申万行业分类|
|德迈仕|301007|汽车|一级行业|申万行业分类|
|密封科技|301020|汽车|一级行业|申万行业分类|
|海泰科|301022|汽车|一级行业|申万行业分类|
|中集车辆|301039|汽车|一级行业|申万行业分类|
|中捷精工|301072|汽车|一级行业|申万行业分类|
|正强股份|301119|汽车|一级行业|申万行业分类|
|金钟股份|301133|汽车|一级行业|申万行业分类|
|锡南科技|301170|汽车|一级行业|申万行业分类|
|毓恬冠佳|301173|汽车|一级行业|申万行业分类|
|标榜股份|301181|汽车|一级行业|申万行业分类|
|超达装备|301186|汽车|一级行业|申万行业分类|
|泰祥股份|301192|汽车|一级行业|申万行业分类|
|中汽股份|301215|汽车|一级行业|申万行业分类|
|光庭信息|301221|汽车|一级行业|申万行业分类|
|恒勃股份|301225|汽车|一级行业|申万行业分类|
|纽泰格|301229|汽车|一级行业|申万行业分类|
|盛帮股份|301233|汽车|一级行业|申万行业分类|
|东利机械|301298|汽车|一级行业|申万行业分类|
|鑫宏业|301310|汽车|一级行业|申万行业分类|
|绿通科技|301322|汽车|一级行业|申万行业分类|
|涛涛车业|301345|汽车|一级行业|申万行业分类|
|溯联股份|301397|汽车|一级行业|申万行业分类|
|星源卓镁|301398|汽车|一级行业|申万行业分类|
|豪恩汽电|301488|汽车|一级行业|申万行业分类|
|维科精密|301499|汽车|一级行业|申万行业分类|
|福赛科技|301529|汽车|一级行业|申万行业分类|
|浙江华远|301535|汽车|一级行业|申万行业分类|
|宏鑫科技|301539|汽车|一级行业|申万行业分类|
|斯菱智驱|301550|汽车|一级行业|申万行业分类|
|科力装备|301552|汽车|一级行业|申万行业分类|
|众捷股份|301560|汽车|一级行业|申万行业分类|
|黄山谷捷|301581|汽车|一级行业|申万行业分类|
|富特科技|301607|汽车|一级行业|申万行业分类|
|新铝时代|301613|汽车|一级行业|申万行业分类|
|壹连科技|301631|汽车|一级行业|申万行业分类|
|绿控传动|301655|汽车|一级行业|申万行业分类|
|联合动力|301656|汽车|一级行业|申万行业分类|
|纳百川|301667|汽车|一级行业|申万行业分类|
|固德电材|301680|汽车|一级行业|申万行业分类|
|东风股份|600006|汽车|一级行业|申万行业分类|
|宇通客车|600066|汽车|一级行业|申万行业分类|
|东风科技|600081|汽车|一级行业|申万行业分类|
|林海股份|600099|汽车|一级行业|申万行业分类|
|上汽集团|600104|汽车|一级行业|申万行业分类|
|长春一东|600148|汽车|一级行业|申万行业分类|
|航天机电|600151|汽车|一级行业|申万行业分类|
|福田汽车|600166|汽车|一级行业|申万行业分类|
|东安动力|600178|汽车|一级行业|申万行业分类|
|S佳通|600182|汽车|一级行业|申万行业分类|
|全柴动力|600218|汽车|一级行业|申万行业分类|
|曙光股份|600303|汽车|一级行业|申万行业分类|
|国机汽车|600335|汽车|一级行业|申万行业分类|
|汉马科技|600375|汽车|一级行业|申万行业分类|
|北巴传媒|600386|汽车|一级行业|申万行业分类|
|江淮汽车|600418|汽车|一级行业|申万行业分类|
|风神股份|600469|汽车|一级行业|申万行业分类|
|凌云股份|600480|汽车|一级行业|申万行业分类|
|贵航股份|600523|汽车|一级行业|申万行业分类|
|金杯汽车|600609|汽车|一级行业|申万行业分类|
|申达股份|600626|汽车|一级行业|申万行业分类|
|飞乐音响|600651|汽车|一级行业|申万行业分类|
|申华控股|600653|汽车|一级行业|申万行业分类|
|福耀玻璃|600660|汽车|一级行业|申万行业分类|
|久事动娱|600676|汽车|一级行业|申万行业分类|
|上海凤凰|600679|汽车|一级行业|申万行业分类|
|金龙汽车|600686|汽车|一级行业|申万行业分类|
|湖南天雁|600698|汽车|一级行业|申万行业分类|
|均胜电子|600699|汽车|一级行业|申万行业分类|
|北汽蓝谷|600733|汽车|一级行业|申万行业分类|
|华域汽车|600741|汽车|一级行业|申万行业分类|
|富维股份|600742|汽车|一级行业|申万行业分类|
|ST中路|600818|汽车|一级行业|申万行业分类|
|上海物贸|600822|汽车|一级行业|申万行业分类|
|动力新科|600841|汽车|一级行业|申万行业分类|
|爱柯迪|600933|汽车|一级行业|申万行业分类|
|渤海汽车|600960|汽车|一级行业|申万行业分类|
|赛轮轮胎|601058|汽车|一级行业|申万行业分类|
|赛力斯|601127|汽车|一级行业|申万行业分类|
|三角轮胎|601163|汽车|一级行业|申万行业分类|
|广汽集团|601238|汽车|一级行业|申万行业分类|
|英利汽车|601279|汽车|一级行业|申万行业分类|
|通用股份|601500|汽车|一级行业|申万行业分类|
|长城汽车|601633|汽车|一级行业|申万行业分类|
|拓普集团|601689|汽车|一级行业|申万行业分类|
|千里科技|601777|汽车|一级行业|申万行业分类|
|星宇股份|601799|汽车|一级行业|申万行业分类|
|中国汽研|601965|汽车|一级行业|申万行业分类|
|玲珑轮胎|601966|汽车|一级行业|申万行业分类|
|联明股份|603006|汽车|一级行业|申万行业分类|
|顺景科技|603007|汽车|一级行业|申万行业分类|
|北特科技|603009|汽车|一级行业|申万行业分类|
|亚普股份|603013|汽车|一级行业|申万行业分类|
|威帝股份|603023|汽车|一级行业|申万行业分类|
|常熟汽饰|603035|汽车|一级行业|申万行业分类|
|凯众股份|603037|汽车|一级行业|申万行业分类|
|新坐标|603040|汽车|一级行业|申万行业分类|
|浙江黎明|603048|汽车|一级行业|申万行业分类|
|中策橡胶|603049|汽车|一级行业|申万行业分类|
|天成自控|603085|汽车|一级行业|申万行业分类|
|正裕工业|603089|汽车|一级行业|申万行业分类|
|上海汽配|603107|汽车|一级行业|申万行业分类|
|神驰机电|603109|汽车|一级行业|申万行业分类|
|浙江荣泰|603119|汽车|一级行业|申万行业分类|
|华培动力|603121|汽车|一级行业|申万行业分类|
|春风动力|603129|汽车|一级行业|申万行业分类|
|腾龙股份|603158|汽车|一级行业|申万行业分类|
