vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万交通运输行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|海通发展|603162|交通运输|一级行业|申万行业分类|
|渤海轮渡|603167|交通运输|一级行业|申万行业分类|
|兴通股份|603209|交通运输|一级行业|申万行业分类|
|上海雅仕|603329|交通运输|一级行业|申万行业分类|
|嘉诚国际|603535|交通运输|一级行业|申万行业分类|
|中谷物流|603565|交通运输|一级行业|申万行业分类|
|长久物流|603569|交通运输|一级行业|申万行业分类|
|畅联股份|603648|交通运输|一级行业|申万行业分类|
|密尔克卫|603713|交通运输|一级行业|申万行业分类|
|原尚股份|603813|交通运输|一级行业|申万行业分类|
|海程邦达|603836|交通运输|一级行业|申万行业分类|
|嘉友国际|603871|交通运输|一级行业|申万行业分类|
|吉祥航空|603885|交通运输|一级行业|申万行业分类|
|中创物流|603967|交通运输|一级行业|申万行业分类|
|福然德|605050|交通运输|一级行业|申万行业分类|
|木业股份|838705|交通运输|一级行业|申万行业分类|
|华光源海|920351|交通运输|一级行业|申万行业分类|
|国航远洋|920571|交通运输|一级行业|申万行业分类|",2026-09-13T08:59:04.894858+08:00
