vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万建筑装饰行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|重庆建工|600939|建筑装饰|一级行业|申万行业分类|
|中材国际|600970|建筑装饰|一级行业|申万行业分类|
|中铝国际|601068|建筑装饰|一级行业|申万行业分类|
|宏盛华源|601096|建筑装饰|一级行业|申万行业分类|
|中国化学|601117|建筑装饰|一级行业|申万行业分类|
|柏诚股份|601133|建筑装饰|一级行业|申万行业分类|
|中国铁建|601186|建筑装饰|一级行业|申万行业分类|
|华电科工|601226|建筑装饰|一级行业|申万行业分类|
|中国中铁|601390|建筑装饰|一级行业|申万行业分类|
|中国核建|601611|建筑装饰|一级行业|申万行业分类|
|中国中冶|601618|建筑装饰|一级行业|申万行业分类|
|中国建筑|601668|建筑装饰|一级行业|申万行业分类|
|中国电建|601669|建筑装饰|一级行业|申万行业分类|
|宁波建工|601789|建筑装饰|一级行业|申万行业分类|
|中国交建|601800|建筑装饰|一级行业|申万行业分类|
|中国能建|601868|建筑装饰|一级行业|申万行业分类|
|江河集团|601886|建筑装饰|一级行业|申万行业分类|
|中衡设计|603017|建筑装饰|一级行业|申万行业分类|
|华设集团|603018|建筑装饰|一级行业|申万行业分类|
|全筑股份|603030|建筑装饰|一级行业|申万行业分类|
|森特股份|603098|建筑装饰|一级行业|申万行业分类|
|恒尚节能|603137|建筑装饰|一级行业|申万行业分类|
|上海建科|603153|建筑装饰|一级行业|申万行业分类|
|圣晖集成|603163|建筑装饰|一级行业|申万行业分类|
|汇通集团|603176|建筑装饰|一级行业|申万行业分类|
|中国瑞林|603257|建筑装饰|一级行业|申万行业分类|
|设计总院|603357|建筑装饰|一级行业|申万行业分类|
|*ST东珠|603359|建筑装饰|一级行业|申万行业分类|
|勘设股份|603458|建筑装饰|一级行业|申万行业分类|
|镇海股份|603637|建筑装饰|一级行业|申万行业分类|
|交建股份|603815|建筑装饰|一级行业|申万行业分类|
|*ST利达|603828|建筑装饰|一级行业|申万行业分类|
|*ST正平|603843|建筑装饰|一级行业|申万行业分类|
|中公高科|603860|建筑装饰|一级行业|申万行业分类|
|建发合诚|603909|建筑装饰|一级行业|申万行业分类|
|亚翔集成|603929|建筑装饰|一级行业|申万行业分类|
|大千生态|603955|建筑装饰|一级行业|申万行业分类|
|ST百利|603959|建筑装饰|一级行业|申万行业分类|
|利柏特|605167|建筑装饰|一级行业|申万行业分类|
|时空科技|605178|建筑装饰|一级行业|申万行业分类|
|德才股份|605287|建筑装饰|一级行业|申万行业分类|
|罗曼股份|605289|建筑装饰|一级行业|申万行业分类|
|园林股份|605303|建筑装饰|一级行业|申万行业分类|
|上海港湾|605598|建筑装饰|一级行业|申万行业分类|
|美联股份|873980|建筑装饰|一级行业|申万行业分类|
|中诚咨询|920003|建筑装饰|一级行业|申万行业分类|
|铜冠矿建|920019|建筑装饰|一级行业|申万行业分类|
|百甲科技|920057|建筑装饰|一级行业|申万行业分类|
|旭杰科技|920149|建筑装饰|一级行业|申万行业分类|
|青矩技术|920208|建筑装饰|一级行业|申万行业分类|
|华维设计|920427|建筑装饰|一级行业|申万行业分类|
|中设咨询|920873|建筑装饰|一级行业|申万行业分类|
|广咨国际|920892|建筑装饰|一级行业|申万行业分类|",2026-09-13T09:00:15.342742+08:00
