vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万电子行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|801080.SI|申万电子|300868.SZ|杰美特|-|77.29|-1.52|-1.93|-|246.81|18708.70|1.27|98.30|0.58|45.20|橡胶和塑料制品业|2020-08-31|
|801080.SI|申万电子|300866.SZ|安克创新|-|127.43|-1.89|-1.46|-|268.20|34042.29|5.88|749.36|2.16|274.94|计算机、通信和其他电子设备制造业|2020-08-31|
|801080.SI|申万电子|300857.SZ|协创数据|-|261.00|-2.52|-0.96|-|1469.36|379036.07|4.89|1277.24|3.16|823.72|计算机、通信和其他电子设备制造业|2020-08-03|
|801080.SI|申万电子|300852.SZ|四会富仕|-|65.59|1.97|3.10|-|2073.24|133692.63|1.61|105.29|0.72|47.15|计算机、通信和其他电子设备制造业|2020-07-20|
|801080.SI|申万电子|300843.SZ|胜蓝股份|-|128.57|1.86|1.47|-|613.99|77761.59|1.64|210.48|0.69|89.23|计算机、通信和其他电子设备制造业|2020-07-09|
|801080.SI|申万电子|300831.SZ|ST派瑞|-|14.10|-0.16|-1.12|-|353.76|4943.57|3.20|45.12|1.81|25.47|计算机、通信和其他电子设备制造业|2020-05-21|
|801080.SI|申万电子|300822.SZ|贝仕达克|-|11.10|-0.26|-2.29|-|308.34|3414.52|3.12|34.58|0.91|10.15|计算机、通信和其他电子设备制造业|2020-03-20|
|801080.SI|申万电子|300814.SZ|中富电路|-|132.24|-3.26|-2.41|-|685.99|89546.33|1.91|253.15|0.72|94.65|计算机、通信和其他电子设备制造业|2021-08-19|
|801080.SI|申万电子|300812.SZ|易天股份|-|18.84|-0.23|-1.21|-|526.85|9876.03|1.96|36.95|1.04|19.66|专用设备制造业|2021-12-13|
|801080.SI|申万电子|300808.SZ|久量股份|-|20.28|-4.55|-18.32|-|1344.53|28025.99|1.60|32.45|0.63|12.69|电气机械和器材制造业|2019-12-06|
|801080.SI|申万电子|300793.SZ|佳禾智能|-|11.02|-0.20|-1.78|-|447.74|4922.55|3.81|41.94|2.54|28.02|计算机、通信和其他电子设备制造业|2019-10-25|
|801080.SI|申万电子|300787.SZ|海能实业|-|9.61|-0.25|-2.54|-|384.98|3697.24|3.13|30.12|1.47|14.13|计算机、通信和其他电子设备制造业|2019-09-06|
|801080.SI|申万电子|300784.SZ|利安科技|-|40.33|-0.74|-1.80|-|52.08|2083.06|0.56|22.68|0.17|6.66|橡胶和塑料制品业|2024-06-17|
|801080.SI|申万电子|300782.SZ|卓胜微|-|71.00|-1.02|-1.42|-|823.08|58297.26|5.75|408.24|3.32|235.99|计算机、通信和其他电子设备制造业|2019-06-25|
|801080.SI|申万电子|300752.SZ|隆利科技|-|11.39|0.12|1.06|-|806.28|8929.26|3.23|36.77|1.86|21.14|计算机、通信和其他电子设备制造业|2018-12-07|
|801080.SI|申万电子|300739.SZ|明阳电路|-|28.63|1.70|6.31|-|4169.21|114658.15|3.73|106.81|1.96|56.05|计算机、通信和其他电子设备制造业|2018-02-08|
|801080.SI|申万电子|300736.SZ|百邦科技|-|30.24|-0.58|-1.88|-|463.10|13784.28|1.28|38.69|0.93|28.21|机动车、电子产品和日用产品修理业|2018-01-16|
|801080.SI|申万电子|300735.SZ|光弘科技|-|17.70|-0.43|-2.37|-|1158.89|20484.04|8.09|143.21|3.74|66.21|计算机、通信和其他电子设备制造业|2018-01-08|
|801080.SI|申万电子|300709.SZ|精研科技|-|37.34|-1.44|-3.71|-|1617.88|60009.09|1.87|69.69|1.29|48.22|计算机、通信和其他电子设备制造业|2017-10-26|
|801080.SI|申万电子|300708.SZ|聚灿光电|-|8.09|-0.10|-1.22|-|1339.16|10819.74|9.43|76.32|6.48|52.42|计算机、通信和其他电子设备制造业|2017-10-23|
|801080.SI|申万电子|300706.SZ|阿石创|-|46.23|-0.65|-1.39|-|473.78|21616.15|1.54|70.98|0.81|37.39|计算机、通信和其他电子设备制造业|2019-07-08|
|801080.SI|申万电子|300701.SZ|森霸传感|-|9.47|-0.17|-1.76|-|265.93|2507.31|2.80|26.48|1.46|13.78|计算机、通信和其他电子设备制造业|2017-09-22|
|801080.SI|申万电子|300686.SZ|智动力|-|13.92|-0.17|-1.21|-|648.15|8932.33|2.61|36.28|1.65|23.02|计算机、通信和其他电子设备制造业|2017-08-11|
|801080.SI|申万电子|300684.SZ|中石科技|-|85.80|2.30|2.75|-|1746.71|148937.66|3.00|256.98|1.72|147.71|计算机、通信和其他电子设备制造业|2020-07-31|
|801080.SI|申万电子|300679.SZ|电连技术|-|42.35|-0.41|-0.96|-|1678.45|69874.63|4.25|179.91|2.61|110.74|计算机、通信和其他电子设备制造业|2017-08-07|
|801080.SI|申万电子|300672.SZ|国科微|-|163.70|-4.93|-2.92|-|766.71|124168.20|2.17|355.40|1.43|234.14|计算机、通信和其他电子设备制造业|2017-07-19|
|801080.SI|申万电子|300671.SZ|富满微|-|50.20|-1.13|-2.20|-|839.34|41698.01|2.21|111.14|1.51|75.59|软件和信息技术服务业|2017-07-12|
|801080.SI|申万电子|300666.SZ|江丰电子|-|230.46|-3.24|-1.39|-|858.64|194701.22|2.76|636.00|1.98|456.42|计算机、通信和其他电子设备制造业|2019-07-08|
|801080.SI|申万电子|300661.SZ|圣邦股份|-|107.98|1.29|1.21|-|1154.45|122754.71|6.86|740.35|4.01|433.04|计算机、通信和其他电子设备制造业|2017-06-13|
|801080.SI|申万电子|300657.SZ|弘信电子|-|34.28|-0.51|-1.47|-|2642.58|88890.69|4.82|165.27|3.90|133.86|计算机、通信和其他电子设备制造业|2017-06-01|
|801080.SI|申万电子|300656.SZ|民德电子|-|24.21|-0.70|-2.81|-|457.95|11040.12|1.71|41.43|1.04|25.28|计算机、通信和其他电子设备制造业|2017-05-26|
|801080.SI|申万电子|300655.SZ|晶瑞电材|-|12.20|-0.25|-2.01|-|2770.15|33549.38|11.27|137.45|9.70|118.40|化学原料和化学制品制造业|2021-12-13|
|801080.SI|申万电子|300650.SZ|太龙股份|-|12.30|-0.26|-2.07|-|689.91|8398.97|2.41|29.69|1.56|19.24|批发业|2017-05-10|
|801080.SI|申万电子|300647.SZ|超频三|-|7.42|-0.35|-4.50|-|3924.61|29033.22|4.57|33.93|3.37|24.98|计算机、通信和其他电子设备制造业|2017-05-10|
|801080.SI|申万电子|300632.SZ|光莆股份|-|17.66|-0.38|-2.11|-|1488.92|26028.73|3.05|53.90|1.90|33.55|电气机械和器材制造业|2017-04-13|
|801080.SI|申万电子|300623.SZ|捷捷微电|-|28.79|-0.19|-0.66|-|1279.14|36472.19|8.32|239.56|4.71|135.73|计算机、通信和其他电子设备制造业|2017-04-13|
