vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万电子行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|801080.SI|申万电子|300077.SZ|国民技术|-|19.30|-0.34|-1.73|-|2395.95|45839.03|6.78|130.88|5.70|110.10|计算机、通信和其他电子设备制造业|2010-04-30|
|801080.SI|申万电子|300076.SZ|*ST宁视|-|4.38|-0.11|-2.45|-|285.87|1254.24|4.24|18.57|2.98|13.05|计算机、通信和其他电子设备制造业|2010-04-30|
|801080.SI|申万电子|300054.SZ|鼎龙股份|-|66.64|-0.68|-1.01|-|1622.00|106939.99|9.55|636.16|6.65|443.35|计算机、通信和其他电子设备制造业|2021-12-13|
|801080.SI|申万电子|300053.SZ|航宇微|-|11.90|-0.15|-1.24|-|1306.99|15509.16|6.97|82.93|5.56|66.16|计算机、通信和其他电子设备制造业|2024-07-31|
|801080.SI|申万电子|300046.SZ|台基股份|-|23.16|-0.35|-1.49|-|380.09|8759.95|2.37|54.78|1.74|40.36|计算机、通信和其他电子设备制造业|2010-01-20|
|801080.SI|申万电子|300032.SZ|金龙机电|-|3.81|-0.04|-1.04|-|1718.35|6482.23|8.03|30.60|6.06|23.09|电气机械和器材制造业|2014-07-02|
|801080.SI|申万电子|003043.SZ|华亚智能|-|60.86|-1.88|-3.00|-|481.89|29076.22|1.43|87.32|0.66|40.30|金属制品业|2021-12-13|
|801080.SI|申万电子|003026.SZ|中晶科技|-|27.21|-0.41|-1.48|-|444.96|11979.53|1.88|51.09|1.11|30.19|计算机、通信和其他电子设备制造业|2020-12-25|
|801080.SI|申万电子|003019.SZ|宸展光电|-|27.12|-0.41|-1.49|-|315.31|8503.94|1.77|47.99|1.19|32.31|计算机、通信和其他电子设备制造业|2020-11-24|
|801080.SI|申万电子|003015.SZ|日久光电|-|11.81|-0.11|-0.92|-|411.17|4818.78|2.81|33.19|2.08|24.59|计算机、通信和其他电子设备制造业|2020-10-28|
|801080.SI|申万电子|002993.SZ|奥海科技|-|35.60|-0.81|-2.22|-|428.58|15156.88|2.76|98.27|1.10|39.02|计算机、通信和其他电子设备制造业|2020-08-24|
|801080.SI|申万电子|002992.SZ|宝明科技|-|33.07|-0.68|-2.01|-|126.17|4166.24|1.81|59.81|0.81|26.88|计算机、通信和其他电子设备制造业|2020-08-10|
|801080.SI|申万电子|002983.SZ|芯瑞达|-|20.97|-0.43|-2.01|-|259.16|5439.64|2.22|46.65|0.65|13.67|计算机、通信和其他电子设备制造业|2020-05-08|
|801080.SI|申万电子|002981.SZ|朝阳科技|-|24.00|-0.22|-0.91|-|249.60|5983.87|1.37|32.77|0.46|10.94|计算机、通信和其他电子设备制造业|2020-04-24|
|801080.SI|申万电子|002962.SZ|五方光电|-|12.86|0.03|0.23|-|689.82|8798.84|2.92|37.51|1.80|23.20|计算机、通信和其他电子设备制造业|2019-09-24|
|801080.SI|申万电子|002955.SZ|鸿合科技|-|33.70|-3.49|-9.38|-|953.76|32950.83|2.37|79.75|1.08|36.33|计算机、通信和其他电子设备制造业|2019-05-30|
|801080.SI|申万电子|002952.SZ|亚世光电|-|18.40|-0.45|-2.39|-|570.27|10450.56|1.64|30.24|0.57|10.52|计算机、通信和其他电子设备制造业|2019-04-04|
|801080.SI|申万电子|002947.SZ|恒铭达|-|61.55|-0.90|-1.44|-|698.21|42510.50|2.56|157.43|1.64|101.00|计算机、通信和其他电子设备制造业|2019-02-15|
|801080.SI|申万电子|002938.SZ|鹏鼎控股|-|92.65|0.80|0.87|-|2493.22|226662.22|23.18|2147.20|6.84|633.85|计算机、通信和其他电子设备制造业|2018-09-26|
|801080.SI|申万电子|002925.SZ|盈趣科技|-|23.51|0.42|1.82|-|2026.15|47345.15|7.72|181.42|2.41|56.75|计算机、通信和其他电子设备制造业|2018-01-22|
|801080.SI|申万电子|002922.SZ|伊戈尔|-|23.20|-0.62|-2.60|-|1812.33|41425.89|4.23|98.04|2.82|65.46|电气机械和器材制造业|2018-01-08|
|801080.SI|申万电子|002916.SZ|深南电路|-|396.68|4.37|1.11|-|900.46|353806.70|6.81|2702.05|2.23|884.86|计算机、通信和其他电子设备制造业|2017-12-20|
|801080.SI|申万电子|002913.SZ|奥士康|-|72.49|1.50|2.11|-|1498.18|107952.54|3.17|230.05|0.76|54.87|计算机、通信和其他电子设备制造业|2017-12-08|
|801080.SI|申万电子|002888.SZ|惠威科技|-|19.06|-0.50|-2.56|-|364.98|6909.77|1.48|28.14|0.50|9.60|计算机、通信和其他电子设备制造业|2017-07-28|
|801080.SI|申万电子|002885.SZ|京泉华|-|26.51|-0.58|-2.14|-|2375.91|62295.88|2.71|71.82|1.66|44.09|计算机、通信和其他电子设备制造业|2017-07-04|
|801080.SI|申万电子|002876.SZ|三利谱|-|28.15|-0.09|-0.32|-|323.30|8972.60|1.74|48.95|1.36|38.30|计算机、通信和其他电子设备制造业|2017-06-05|
|801080.SI|申万电子|002866.SZ|传艺科技|-|13.98|-0.14|-0.99|-|434.17|6018.55|2.90|40.48|1.45|20.34|计算机、通信和其他电子设备制造业|2017-05-04|
|801080.SI|申万电子|002861.SZ|瀛通通讯|-|14.42|-0.43|-2.90|-|451.68|6479.97|1.86|26.86|1.20|17.25|计算机、通信和其他电子设备制造业|2017-04-20|
|801080.SI|申万电子|002859.SZ|洁美科技|-|63.99|2.59|4.22|-|2431.00|152634.07|4.54|290.29|2.12|135.40|计算机、通信和其他电子设备制造业|2017-04-14|
|801080.SI|申万电子|002855.SZ|捷荣技术|-|13.49|-1.50|-10.01|-|1972.29|26730.61|2.46|33.24|0.89|11.95|计算机、通信和其他电子设备制造业|2017-03-28|
|801080.SI|申万电子|002845.SZ|同兴达|-|13.44|-0.01|-0.07|-|739.36|9844.32|3.28|44.02|1.76|23.62|计算机、通信和其他电子设备制造业|2017-02-08|
|801080.SI|申万电子|002841.SZ|视源股份|-|45.24|-1.10|-2.37|-|576.71|25987.11|6.99|316.31|3.63|164.01|计算机、通信和其他电子设备制造业|2022-08-01|
|801080.SI|申万电子|002815.SZ|崇达技术|-|20.08|1.83|10.03|-|10466.46|201417.69|12.34|247.82|6.24|125.37|计算机、通信和其他电子设备制造业|2016-10-19|
|801080.SI|申万电子|002782.SZ|可立克|-|14.95|-0.15|-0.99|-|729.72|10830.25|4.95|74.01|2.03|30.33|计算机、通信和其他电子设备制造业|2015-12-29|
|801080.SI|申万电子|002745.SZ|木林森|-|11.14|0.05|0.45|-|4843.31|52962.76|14.84|165.34|8.62|96.04|电气机械和器材制造业|2015-03-03|
|801080.SI|申万电子|002741.SZ|光华科技|-|23.83|0.18|0.76|-|2462.89|57799.11|4.69|111.67|2.97|70.87|计算机、通信和其他电子设备制造业|2021-12-13|
|801080.SI|申万电子|002729.SZ|好利科技|-|13.55|-0.02|-0.15|-|336.30|4507.36|1.83|24.79|1.24|16.77|计算机、通信和其他电子设备制造业|2014-09-19|
|801080.SI|申万电子|002681.SZ|奋达科技|-|4.58|-0.05|-1.08|-|4009.91|18156.70|17.95|82.20|13.95|63.90|计算机、通信和其他电子设备制造业|2019-07-08|
|801080.SI|申万电子|002660.SZ|茂硕电源|-|7.67|-0.18|-2.29|-|1058.14|8117.11|3.57|27.35|1.91|14.68|计算机、通信和其他电子设备制造业|2012-03-23|
|801080.SI|申万电子|002655.SZ|共达电声|-|34.25|-1.84|-5.10|-|3475.01|118771.60|3.65|124.88|3.01|103.19|计算机、通信和其他电子设备制造业|2012-02-24|
|801080.SI|申万电子|002654.SZ|万润科技|-|13.53|-0.13|-0.95|-|4556.63|60485.14|8.45|114.37|6.43|87.03|商务服务业|2021-12-13|
|801080.SI|申万电子|002643.SZ|万润股份|-|12.81|-0.30|-2.29|-|2053.01|26097.45|9.16|117.33|4.66|59.70|化学原料和化学制品制造业|2021-12-13|
|801080.SI|申万电子|002636.SZ|金安国纪|-|82.46|6.01|7.86|-|11253.54|871915.01|7.28|600.31|2.46|203.00|计算机、通信和其他电子设备制造业|2011-12-02|
|801080.SI|申万电子|002635.SZ|安洁科技|-|14.44|-0.07|-0.48|-|1165.29|16587.52|6.60|95.26|2.91|42.04|计算机、通信和其他电子设备制造业|2011-12-02|
|801080.SI|申万电子|002600.SZ|领益智造|-|13.10|0.26|2.02|-|19892.72|259532.79|81.20|1063.76|27.22|356.55|计算机、通信和其他电子设备制造业|2018-07-16|
|801080.SI|申万电子|002587.SZ|奥拓电子|-|5.41|-0.03|-0.55|-|1118.02|5997.71|6.55|35.41|4.54|24.57|计算机、通信和其他电子设备制造业|2011-06-17|
|801080.SI|申万电子|002584.SZ|西陇科学|-|7.78|-0.17|-2.14|-|1668.69|12884.92|5.85|45.53|4.48|34.85|化学原料和化学制品制造业|2021-12-13|
|801080.SI|申万电子|002579.SZ|中京电子|-|17.08|0.35|2.09|-|18673.70|314018.82|6.13|104.64|3.97|67.73|计算机、通信和其他电子设备制造业|2011-05-12|
|801080.SI|申万电子|002552.SZ|宝鼎科技|-|50.00|-0.35|-0.70|-|4813.98|233303.93|3.88|193.99|1.33|66.31|计算机、通信和其他电子设备制造业|2026-07-02|
|801080.SI|申万电子|002484.SZ|江海股份|-|58.02|0.01|0.02|-|3635.19|208218.65|8.51|493.47|5.06|293.32|计算机、通信和其他电子设备制造业|2010-09-29|
|801080.SI|申万电子|002475.SZ|立讯精密|-|55.39|0.94|1.73|-|8726.01|476809.63|77.38|4286.01|45.79|2536.29|计算机、通信和其他电子设备制造业|2010-09-15|
|801080.SI|申万电子|002463.SZ|沪电股份|-|128.25|0.33|0.26|-|4394.97|556312.66|19.24|2468.00|13.15|1685.88|计算机、通信和其他电子设备制造业|2010-08-18|
|801080.SI|申万电子|002456.SZ|欧菲光|-|7.00|-0.13|-1.82|-|6058.37|42421.02|34.96|244.71|23.02|161.14|计算机、通信和其他电子设备制造业|2010-08-03|
|801080.SI|申万电子|002449.SZ|国星光电|-|6.41|-0.03|-0.47|-|1054.30|6718.12|6.18|39.64|4.86|31.13|计算机、通信和其他电子设备制造业|2010-07-16|
|801080.SI|申万电子|002436.SZ|兴森科技|-|39.33|-0.38|-0.96|-|15053.64|583061.70|17.00|668.48|14.59|573.95|计算机、通信和其他电子设备制造业|2010-06-18|
|801080.SI|申万电子|002426.SZ|胜利精密|-|2.66|-0.01|-0.37|-|6309.61|16519.17|34.03|90.51|29.21|77.71|计算机、通信和其他电子设备制造业|2022-08-01|
|801080.SI|申万电子|002409.SZ|雅克科技|-|129.99|-3.49|-2.61|-|1777.02|228668.04|4.76|618.66|2.53|328.63|化学原料和化学制品制造业|2020-06-09|
|801080.SI|申万电子|002402.SZ|和而泰|-|17.95|-0.23|-1.27|-|1887.53|33650.06|9.23|165.75|7.89|141.69|计算机、通信和其他电子设备制造业|2025-08-13|
|801080.SI|申万电子|002388.SZ|新亚制程|-|6.21|-0.16|-2.51|-|2303.16|14187.97|5.07|31.46|4.48|27.84|计算机、通信和其他电子设备制造业|2010-04-13|
|801080.SI|申万电子|002387.SZ|维信诺|-|6.85|-0.05|-0.72|-|975.48|6648.35|13.97|95.68|8.36|57.24|计算机、通信和其他电子设备制造业|2019-07-08|
|801080.SI|申万电子|002384.SZ|东山精密|-|194.42|0.68|0.35|-|7418.43|1442014.59|18.32|3561.01|11.45|2226.80|计算机、通信和其他电子设备制造业|2011-10-10|
|801080.SI|申万电子|002371.SZ|北方华创|-|634.00|-4.64|-0.73|-|661.81|414642.40|7.26|4600.87|3.73|2365.32|专用设备制造业|2010-03-16|
|801080.SI|申万电子|002369.SZ|卓翼科技|-|5.85|-0.09|-1.52|-|1197.33|6976.11|5.67|33.17|5.35|31.32|计算机、通信和其他电子设备制造业|2010-03-16|
|801080.SI|申万电子|002351.SZ|漫步者|-|9.75|-0.09|-0.91|-|558.18|5439.10|8.89|86.69|4.13|40.31|计算机、通信和其他电子设备制造业|2010-02-05|
|801080.SI|申万电子|002289.SZ|宇顺电子|-|35.10|-1.49|-4.07|-|535.56|18749.17|2.80|98.37|1.60|56.12|计算机、通信和其他电子设备制造业|2009-09-03|
|801080.SI|申万电子|002273.SZ|水晶光电|-|24.67|-0.45|-1.79|-|2995.81|73514.28|13.91|343.07|12.42|306.48|计算机、通信和其他电子设备制造业|2008-09-19|
|801080.SI|申万电子|002241.SZ|歌尔股份|-|22.24|-0.29|-1.29|-|5087.13|113311.49|35.58|791.31|24.46|543.93|计算机、通信和其他电子设备制造业|2008-05-22|
|801080.SI|申万电子|002222.SZ|福晶科技|-|64.92|-1.93|-2.89|-|1795.03|116186.21|4.70|305.29|3.80|246.45|计算机、通信和其他电子设备制造业|2008-03-19|
|801080.SI|申万电子|002217.SZ|ST合力泰|-|1.46|0.00|0.00|-|8313.45|12047.87|74.79|109.20|50.70|74.02|计算机、通信和其他电子设备制造业|2025-01-02|
|801080.SI|申万电子|002213.SZ|大为股份|-|26.69|-0.81|-2.95|-|892.74|23696.03|2.40|64.17|1.67|44.47|计算机、通信和其他电子设备制造业|2023-07-06|
|801080.SI|申万电子|002199.SZ|东晶电子|-|12.12|0.04|0.33|-|359.83|4293.10|2.43|29.51|1.52|18.45|计算机、通信和其他电子设备制造业|2011-01-19|
|801080.SI|申万电子|002185.SZ|华天科技|-|16.20|-0.18|-1.10|-|20389.42|325682.34|33.27|538.93|24.78|401.51|计算机、通信和其他电子设备制造业|2007-11-20|
|801080.SI|申万电子|002161.SZ|远望谷|-|8.04|0.73|9.99|-|1878.76|15105.26|7.40|59.48|5.92|47.57|计算机、通信和其他电子设备制造业|2009-06-01|
|801080.SI|申万电子|002156.SZ|通富微电|-|58.00|-0.34|-0.58|-|5501.31|314849.79|15.18|880.21|11.40|660.95|计算机、通信和其他电子设备制造业|2010-12-02|
|801080.SI|申万电子|002141.SZ|贤丰控股|-|6.34|-0.07|-1.09|-|12202.42|76234.03|10.33|65.49|5.61|35.60|电气机械和器材制造业|2026-07-02|
|801080.SI|申万电子|002139.SZ|拓邦股份|-|9.60|0.31|3.34|-|2499.96|23545.69|12.47|119.70|10.18|97.74|电气机械和器材制造业|2009-06-01|
|801080.SI|申万电子|002138.SZ|顺络电子|-|48.11|1.17|2.49|-|3043.06|143633.89|8.06|387.92|6.58|316.64|计算机、通信和其他电子设备制造业|2011-03-24|
|801080.SI|申万电子|002137.SZ|实益达|-|7.46|-0.10|-1.32|-|1020.62|7575.89|5.78|43.08|3.36|25.07|电气机械和器材制造业|2022-08-01|
|801080.SI|申万电子|002134.SZ|天津普林|-|23.22|0.82|3.66|-|1768.61|40014.15|2.48|57.54|1.68|39.00|计算机、通信和其他电子设备制造业|2007-05-16|
|801080.SI|申万电子|002130.SZ|沃尔核材|-|17.93|0.76|4.43|-|9445.42|167620.20|14.00|251.00|9.39|168.41|计算机、通信和其他电子设备制造业|2021-12-13|
|801080.SI|申万电子|002119.SZ|康强电子|-|22.68|-0.40|-1.73|-|2525.70|56456.72|3.75|85.11|3.01|68.33|计算机、通信和其他电子设备制造业|2007-03-02|
|801080.SI|申万电子|002106.SZ|莱宝高科|-|11.15|0.35|3.24|-|2720.73|29705.93|7.06|78.70|5.04|56.19|计算机、通信和其他电子设备制造业|2007-01-12|
|801080.SI|申万电子|002077.SZ|大港股份|-|13.78|-0.27|-1.92|-|6524.55|89540.14|5.80|79.97|2.90|40.01|计算机、通信和其他电子设备制造业|2018-07-16|
|801080.SI|申万电子|002055.SZ|ST得润|-|6.37|-0.13|-2.00|-|1509.10|9573.11|6.04|38.51|5.46|34.77|计算机、通信和其他电子设备制造业|2011-03-14|
|801080.SI|申万电子|002049.SZ|紫光国微|-|59.09|-1.41|-2.33|-|1505.46|89003.80|8.43|498.27|6.16|364.12|计算机、通信和其他电子设备制造业|2005-06-06|
|801080.SI|申万电子|002045.SZ|国光电器|-|8.90|-0.02|-0.22|-|1501.11|13282.23|5.62|50.06|3.80|33.78|计算机、通信和其他电子设备制造业|2005-05-23|
|801080.SI|申万电子|002036.SZ|联创电子|-|6.33|-0.13|-2.01|-|2985.34|18758.81|10.58|66.95|9.48|60.02|计算机、通信和其他电子设备制造业|2016-07-01|
|801080.SI|申万电子|001399.SZ|惠科股份|-|19.44|-0.75|-3.71|-|2342.84|45560.05|74.07|1439.98|4.31|83.70|计算机、通信和其他电子设备制造业|2026-07-03|
|801080.SI|申万电子|001389.SZ|广合科技|-|175.00|1.00|0.57|-|709.13|121493.76|4.73|827.27|1.52|266.65|计算机、通信和其他电子设备制造业|2024-04-11|
|801080.SI|申万电子|001373.SZ|翔腾新材|-|27.61|-0.90|-3.16|-|146.50|4029.92|0.69|18.96|0.34|9.29|计算机、通信和其他电子设备制造业|2023-06-08|
|801080.SI|申万电子|001314.SZ|亿道信息|-|48.35|-0.98|-1.99|-|234.90|11284.27|1.43|68.94|0.56|26.98|计算机、通信和其他电子设备制造业|2023-02-21|
|801080.SI|申万电子|001309.SZ|德明利|-|402.73|-15.49|-3.70|-|1378.22|551778.00|2.27|913.56|1.45|585.45|计算机、通信和其他电子设备制造业|2024-07-31|
|801080.SI|申万电子|001308.SZ|康冠科技|-|17.54|-0.04|-0.23|-|123.16|2143.92|7.04|123.50|0.93|16.35|计算机、通信和其他电子设备制造业|2022-03-25|
|801080.SI|申万电子|001298.SZ|好上好|-|16.97|-0.40|-2.30|-|795.11|13434.00|4.33|73.40|2.25|38.25|批发业|2022-11-07|
|801080.SI|申万电子|001287.SZ|中电港|-|22.35|-0.13|-0.58|-|1794.84|39637.26|7.60|169.84|3.46|77.37|批发业|2023-04-17|
|801080.SI|申万电子|001232.SZ|嘉立创|-|182.48|16.59|10.00|-|718.41|124855.36|5.56|1013.79|0.44|80.67|计算机、通信和其他电子设备制造业|2026-08-11|
|801080.SI|申万电子|000823.SZ|超声电子|-|20.57|1.87|10.00|-|18295.44|352450.66|5.95|122.38|4.31|88.70|计算机、通信和其他电子设备制造业|1997-10-08|
|801080.SI|申万电子|000727.SZ|冠捷科技|-|2.24|-0.01|-0.44|-|7316.60|16203.24|45.30|101.46|24.85|55.67|计算机、通信和其他电子设备制造业|1997-05-20|
|801080.SI|申万电子|000725.SZ|京东方A|-|5.33|-0.13|-2.38|-|105628.96|560459.86|370.44|1974.46|277.90|1481.22|计算机、通信和其他电子设备制造业|2010-12-14|
|801080.SI|申万电子|000670.SZ|盈方微|-|7.37|0.14|1.94|-|6481.45|46756.44|8.46|62.35|6.93|51.08|批发业|2022-08-23|
|801080.SI|申万电子|000636.SZ|风华高科|-|55.99|5.09|10.00|-|18607.83|998486.36|11.47|642.48|8.59|481.03|计算机、通信和其他电子设备制造业|1996-11-29|
|801080.SI|申万电子|000536.SZ|华映科技|-|3.43|-0.09|-2.56|-|5404.05|18441.87|27.66|94.87|12.66|43.44|计算机、通信和其他电子设备制造业|2011-10-10|
|801080.SI|申万电子|000509.SZ|华塑控股|-|3.49|-0.04|-1.13|-|1743.83|6055.25|10.73|37.45|6.49|22.64|计算机、通信和其他电子设备制造业|2022-08-01|
|801080.SI|申万电子|000100.SZ|TCL科技|-|4.64|-0.05|-1.07|-|41739.85|192278.63|219.46|1018.31|170.74|792.25|计算机、通信和其他电子设备制造业|2019-04-23|
|801080.SI|申万电子|000062.SZ|深圳华强|-|22.53|-0.56|-2.43|-|1938.99|43416.99|10.46|235.64|3.71|83.70|批发业|2017-07-03|
|801080.SI|申万电子|000050.SZ|深天马A|-|6.45|0.00|0.00|-|2428.29|15481.77|24.36|157.11|11.19|72.16|计算机、通信和其他电子设备制造业|1995-03-15|
|801080.SI|申万电子|000045.SZ|深纺织A|-|10.78|-0.13|-1.19|-|323.41|3478.67|5.07|54.60|2.07|22.30|计算机、通信和其他电子设备制造业|2014-07-02|
|801080.SI|申万电子|000021.SZ|深科技|-|35.03|-1.47|-4.03|-|8386.50|290824.62|15.85|555.16|10.28|360.24|计算机、通信和其他电子设备制造业|2019-07-08|
|801080.SI|申万电子|000020.SZ|深华发A|-|13.09|-0.32|-2.39|-|2208.33|29034.48|2.83|37.07|0.62|8.10|计算机、通信和其他电子设备制造业|1992-04-28|",2026-09-13T08:57:23.267219+08:00
