code_qlib,code_gildata,name,sw_l1
SH600281,600281.SH,华阳新材,有色金属
SH600282,600282.SH,南钢股份,钢铁
SH600283,600283.SH,钱江水利,环保
SH600284,600284.SH,浦东建设,建筑装饰
SH600285,600285.SH,羚锐制药,医药生物
SH600287,600287.SH,苏豪时尚,商贸零售
SH600288,600288.SH,大恒科技,计算机
SH600289,600289.SH,ST信通,通信
SH600292,600292.SH,电投水电,公用事业
SH600293,600293.SH,三峡新材,建筑材料
SH600295,600295.SH,鄂尔多斯,钢铁
SH600298,600298.SH,安琪酵母,食品饮料
SH600299,600299.SH,安迪苏,基础化工
SH600300,600300.SH,维维股份,食品饮料
SH600301,600301.SH,华锡有色,有色金属
SH600302,600302.SH,ST标准,机械设备
SH600303,600303.SH,曙光股份,汽车
SH600305,600305.SH,恒顺醋业,食品饮料
SH600307,600307.SH,酒钢宏兴,钢铁
SH600308,600308.SH,华泰股份,轻工制造
SH600309,600309.SH,万华化学,基础化工
SH600310,600310.SH,广西能源,公用事业
SH600312,600312.SH,平高电气,电力设备
SH600313,600313.SH,农发种业,农林牧渔
SH600315,600315.SH,上海家化,美容护理
SH600316,600316.SH,洪都航空,国防军工
SH600318,600318.SH,新力金融,非银金融
SH600319,600319.SH,亚星化学,基础化工
SH600320,600320.SH,振华重工,机械设备
SH600322,600322.SH,津投城开,房地产
SH600323,600323.SH,瀚蓝环境,环保
SH600325,600325.SH,华发股份,房地产
SH600326,600326.SH,西藏天路,建筑材料
SH600327,600327.SH,大东方,商贸零售
SH600328,600328.SH,中盐化工,基础化工
SH600329,600329.SH,达仁堂,医药生物
SH600330,600330.SH,天通股份,电子
SH600331,600331.SH,宏达股份,基础化工
SH600332,600332.SH,白云山,医药生物
SH600333,600333.SH,长春燃气,公用事业
SH600335,600335.SH,国机汽车,汽车
SH600336,600336.SH,澳柯玛,家用电器
SH600337,600337.SH,ST美克,轻工制造
SH600338,600338.SH,西藏珠峰,有色金属
SH600339,600339.SH,中油工程,石油石化
SH600340,600340.SH,*ST华幸,房地产
SH600343,600343.SH,航天动力,机械设备
SH600345,600345.SH,长江通信,通信
SH600346,600346.SH,恒力石化,石油石化
SH600348,600348.SH,华阳股份,煤炭
SH600350,600350.SH,山东高速,交通运输
SH600351,600351.SH,亚宝药业,医药生物
SH600352,600352.SH,浙江龙盛,基础化工
SH600353,600353.SH,旭光电子,电子
SH600354,600354.SH,敦煌种业,农林牧渔
SH600356,600356.SH,恒丰纸业,轻工制造
SH600358,600358.SH,国旅联合,传媒
SH600359,600359.SH,新农开发,农林牧渔
SH600360,600360.SH,华微电子,电子
SH600361,600361.SH,创新新材,有色金属
SH600362,600362.SH,江西铜业,有色金属
SH600363,600363.SH,联创光电,电子
SH600365,600365.SH,ST通葡,商贸零售
SH600366,600366.SH,宁波韵升,有色金属
SH600367,600367.SH,红星发展,基础化工
SH600368,600368.SH,五洲交通,交通运输
SH600369,600369.SH,西南证券,非银金融
SH600370,600370.SH,*ST三房,基础化工
SH600371,600371.SH,万向德农,农林牧渔
SH600372,600372.SH,中航机载,国防军工
SH600373,600373.SH,中文传媒,传媒
SH600375,600375.SH,汉马科技,汽车
SH600376,600376.SH,首开股份,房地产
SH600377,600377.SH,宁沪高速,交通运输
SH600378,600378.SH,昊华科技,基础化工
SH600379,600379.SH,宝光股份,电力设备
SH600380,600380.SH,健康元,医药生物
SH600381,600381.SH,*ST春天,食品饮料
SH600382,600382.SH,广东明珠,钢铁
SH600383,600383.SH,金地集团,房地产
SH600386,600386.SH,北巴传媒,汽车
SH600388,600388.SH,紫金龙净,环保
SH600389,600389.SH,江山股份,基础化工
SH600390,600390.SH,五矿资本,非银金融
SH600391,600391.SH,航发科技,国防军工
SH600392,600392.SH,盛和资源,有色金属
SH600395,600395.SH,盘江股份,煤炭
SH600396,600396.SH,华电辽能,公用事业
SH600397,600397.SH,江钨装备,机械设备
SH600398,600398.SH,海澜之家,纺织服饰
SH600399,600399.SH,抚顺特钢,钢铁
SH600400,600400.SH,红豆股份,纺织服饰
SH600403,600403.SH,大有能源,煤炭
SH600405,600405.SH,动力源,电力设备
SH600406,600406.SH,国电南瑞,电力设备
SH600408,600408.SH,安泰集团,煤炭
SH600409,600409.SH,三友化工,基础化工
SH600410,600410.SH,华胜天成,计算机
SH600415,600415.SH,小商品城,商贸零售
SH600416,600416.SH,湘电股份,电力设备
SH600418,600418.SH,江淮汽车,汽车
SH600419,600419.SH,天润乳业,食品饮料
SH600420,600420.SH,国药现代,医药生物
SH600422,600422.SH,昆药集团,医药生物
SH600423,600423.SH,*ST柳化,基础化工
SH600425,600425.SH,青松建化,建筑材料
