code_gildata,name,wind_sw_l1
000631.SZ,顺发恒能,公用事业
000632.SZ,ST三木,综合
000633.SZ,合金投资,有色金属
000635.SZ,英力特,基础化工
000636.SZ,风华高科,电子
000637.SZ,茂化实华,石油石化
000638.SZ,*ST万方(退市),国防军工
000639.SZ,ST西王,食品饮料
000650.SZ,仁和药业,医药生物
000651.SZ,格力电器,家用电器
000652.SZ,泰达股份,综合
000655.SZ,金岭矿业,钢铁
000656.SZ,金科股份,房地产
000657.SZ,中钨高新,有色金属
000659.SZ,珠海中富,轻工制造
000661.SZ,长春高新,医药生物
000663.SZ,永安林业,农林牧渔
000665.SZ,湖北广电,传媒
000668.SZ,荣丰控股,房地产
000669.SZ,ST金鸿,公用事业
000670.SZ,盈方微,电子
000672.SZ,上峰材料,建筑材料
000676.SZ,智度股份,传媒
000677.SZ,ST海龙,基础化工
000678.SZ,襄阳轴承,汽车
000679.SZ,大连友谊,商贸零售
000680.SZ,山推股份,机械设备
000681.SZ,视觉中国,传媒
000682.SZ,东方电子,电力设备
000683.SZ,博源化工,基础化工
000685.SZ,中山公用,环保
000686.SZ,东北证券,非银金融
000688.SZ,国城矿业,有色金属
000690.SZ,宝新能源,公用事业
000691.SZ,亚太实业,基础化工
000692.SZ,惠天热电,公用事业
000695.SZ,滨海能源,电力设备
000697.SZ,炼石航空,国防军工
000698.SZ,ST沈化,石油石化
000700.SZ,模塑科技,汽车
000701.SZ,厦门信达,商贸零售
000702.SZ,正虹科技,农林牧渔
000703.SZ,恒逸石化,石油石化
000705.SZ,浙江震元,医药生物
000707.SZ,双环科技,基础化工
000708.SZ,中信特钢,钢铁
000709.SZ,河钢股份,钢铁
000710.SZ,贝瑞基因,医药生物
000711.SZ,京蓝科技,环保
000712.SZ,锦龙股份,非银金融
000713.SZ,国投丰乐,农林牧渔
000715.SZ,中兴商业,商贸零售
000716.SZ,黑芝麻,食品饮料
000717.SZ,中南股份,钢铁
000718.SZ,苏宁环球,房地产
000719.SZ,中原传媒,传媒
000720.SZ,新能泰山,电力设备
000721.SZ,西安饮食,社会服务
000722.SZ,湖南发展,公用事业
000723.SZ,美锦能源,煤炭
000725.SZ,京东方A,电子
000726.SZ,鲁泰A,纺织服饰
000727.SZ,冠捷科技,电子
000728.SZ,国元证券,非银金融
000729.SZ,燕京啤酒,食品饮料
000731.SZ,四川美丰,基础化工
000733.SZ,振华科技,国防军工
000735.SZ,罗牛山,农林牧渔
000736.SZ,中交发展,房地产
000737.SZ,北方铜业,有色金属
000738.SZ,航发控制,国防军工
000739.SZ,普洛药业,医药生物
000750.SZ,国海证券,非银金融
000751.SZ,锌业股份,有色金属
000752.SZ,*ST西发,食品饮料
000753.SZ,漳州发展,综合
000755.SZ,山西高速,交通运输
000756.SZ,新华制药,医药生物
000757.SZ,浩物股份,汽车
000758.SZ,中色股份,有色金属
000759.SZ,中百集团,商贸零售
000761.SZ,本钢板材,钢铁
000762.SZ,西藏矿业,有色金属
000766.SZ,通化金马,医药生物
000767.SZ,晋控电力,公用事业
000768.SZ,中航西飞,国防军工
000776.SZ,广发证券,非银金融
000777.SZ,中核科技,机械设备
000778.SZ,新兴铸管,钢铁
000779.SZ,甘咨询,建筑装饰
000782.SZ,恒申新材,基础化工
000783.SZ,长江证券,非银金融
000785.SZ,居然智家,商贸零售
000786.SZ,北新建材,建筑材料
000788.SZ,北大医药,医药生物
000789.SZ,万年青,建筑材料
000790.SZ,华神科技,医药生物
000791.SZ,甘肃能源,公用事业
000792.SZ,盐湖股份,基础化工
000793.SZ,ST华闻,传媒
000795.SZ,英洛华,有色金属
000796.SZ,凯撒旅业,社会服务
000797.SZ,中国武夷,房地产
000798.SZ,中水渔业,农林牧渔
000799.SZ,酒鬼酒,食品饮料
000800.SZ,一汽解放,汽车
000801.SZ,四川九洲,家用电器
000802.SZ,北京文化,传媒
000803.SZ,山高环能,环保
000807.SZ,云铝股份,有色金属
000809.SZ,和展能源,电力设备
000810.SZ,创维数字,家用电器
000811.SZ,冰轮环境,机械设备
000812.SZ,陕西金叶,轻工制造
000813.SZ,德展健康,医药生物
000815.SZ,美利云,计算机
000816.SZ,智慧农业,汽车
000818.SZ,航锦科技,基础化工
000819.SZ,岳阳兴长,石油石化
000820.SZ,神雾节能,环保
000821.SZ,ST京机,电力设备
000822.SZ,山东海化,基础化工
000823.SZ,超声电子,电子
000825.SZ,太钢不锈,钢铁
000826.SZ,*ST启环,环保
000828.SZ,东莞控股,交通运输
000829.SZ,天音控股,商贸零售
000830.SZ,鲁西化工,基础化工
000831.SZ,中国稀土,有色金属
000833.SZ,粤桂股份,综合
000837.SZ,秦川机床,机械设备
000838.SZ,*ST发展,房地产
000839.SZ,国安股份,通信
000848.SZ,承德露露,食品饮料
000850.SZ,华茂股份,纺织服饰
000851.SZ,*ST高鸿(退市),通信
000852.SZ,石化机械,机械设备
000856.SZ,冀东装备,机械设备
000858.SZ,五粮液,食品饮料
000859.SZ,国风新材,基础化工
000860.SZ,顺鑫农业,食品饮料
000862.SZ,银星能源,公用事业
000863.SZ,三湘印象,房地产
000868.SZ,安凯客车,汽车
000869.SZ,张裕A,食品饮料
000875.SZ,电投绿能,公用事业
000876.SZ,新希望,农林牧渔
000877.SZ,天山股份,建筑材料
000878.SZ,云南铜业,有色金属
000880.SZ,潍柴重机,机械设备
000881.SZ,中广核技,基础化工
000882.SZ,华联股份,商贸零售
000883.SZ,湖北能源,公用事业
000885.SZ,城发环境,环保
000886.SZ,海南高速,交通运输
000887.SZ,中鼎股份,汽车
000888.SZ,峨眉山A,社会服务
000889.SZ,中嘉博创,通信
000890.SZ,法尔胜,环保
000892.SZ,欢瑞世纪,传媒
000893.SZ,亚钾国际,基础化工
000895.SZ,双汇发展,食品饮料
000897.SZ,津滨发展,房地产
000898.SZ,鞍钢股份,钢铁
000899.SZ,赣能股份,公用事业
000900.SZ,现代投资,交通运输
000901.SZ,航天科技,汽车
000902.SZ,新洋丰,基础化工
000903.SZ,ST云动,汽车
000905.SZ,厦门港务,交通运输
000906.SZ,浙商中拓,交通运输
000908.SZ,石药景峰,医药生物
000909.SZ,*ST数源,房地产
000910.SZ,大亚圣象,轻工制造
000911.SZ,*ST广糖,农林牧渔
000912.SZ,泸天化,基础化工
000913.SZ,钱江摩托,汽车
000915.SZ,华特达因,医药生物
000917.SZ,电广传媒,传媒
