vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有A股及其申万一级行业,1,智能选股,,,"智能选股工具共筛选出 5901 个符合条件标的，以下列出前 500 条
|证券代码|证券简称|所属申万行业名称<[等级]:一级>|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|
|003002.SZ|壶化股份|基础化工|4.35|
|301526.SZ|国际复材|建筑材料|4.32|
|688277.SH|天智航|医药生物|4.31|
|600936.SH|北投科技|传媒|4.29|
|301220.SZ|亚香股份|基础化工|4.24|
|301357.SZ|北方长龙|国防军工|4.22|
|002859.SZ|洁美科技|电子|4.22|
|603989.SH|艾华集团|电子|4.2|
|605198.SH|安德利|农林牧渔|4.19|
|688820.SH|盛合晶微|电子|4.18|
|300121.SZ|阳谷华泰|基础化工|4.14|
|301155.SZ|海力风电|电力设备|4.07|
|300099.SZ|尤洛卡|机械设备|4.06|
|920725.BJ|惠丰钻石|机械设备|4.05|
|300308.SZ|中际旭创|通信|4.03|
|600776.SH|东方通信|通信|4.02|
|600255.SH|鑫科材料|有色金属|4.02|
|300285.SZ|国瓷材料|电子|4.01|
|603390.SH|通达电气|汽车|3.95|
|300649.SZ|杭州园林|建筑装饰|3.95|
|300427.SZ|红相股份|电力设备|3.95|
|002508.SZ|老板电器|家用电器|3.92|
|600596.SH|新安股份|基础化工|3.91|
|002743.SZ|ST富煌|建筑装饰|3.89|
|603002.SH|宏昌电子|电子|3.87|
|603959.SH|ST百利|建筑装饰|3.81|
|688543.SH|国科军工|国防军工|3.79|
|300473.SZ|德尔股份|汽车|3.78|
|600084.SH|*ST尼雅|食品饮料|3.76|
|301148.SZ|嘉戎技术|环保|3.74|
|003039.SZ|顺控发展|环保|3.73|
|300895.SZ|铜牛信息|计算机|3.7|
|301013.SZ|利和兴|机械设备|3.69|
|002613.SZ|北玻股份|建筑材料|3.68|
|601218.SH|吉鑫科技|电力设备|3.67|
|002134.SZ|天津普林|电子|3.66|
|300788.SZ|中信出版|传媒|3.65|
|920060.BJ|万源通|电子|3.62|
|920071.BJ|金钛股份|有色金属|3.59|
|603618.SH|杭电股份|电力设备|3.59|
|600522.SH|中天科技|通信|3.57|
|600982.SH|宁波能源|公用事业|3.56|
|301007.SZ|德迈仕|汽车|3.52|
|603376.SH|大明电子|汽车|3.52|
|301270.SZ|汉仪股份|计算机|3.45|
|301458.SZ|钧崴电子|电子|3.43|
|920198.BJ|微创光电|计算机|3.43|
|000921.SZ|海信家电|家用电器|3.41|
|601112.SH|振石股份|建筑材料|3.4|
|000151.SZ|中成股份|商贸零售|3.39|
|920392.BJ|佳合科技|轻工制造|3.39|
|300207.SZ|欣旺达|电力设备|3.36|
|603606.SH|东方电缆|电力设备|3.36|
|002139.SZ|拓邦股份|电子|3.34|
|300477.SZ|ST合纵|电力设备|3.33|
|600360.SH|华微电子|电子|3.33|
|300569.SZ|天能重工|电力设备|3.33|
|603838.SH|*ST四通|轻工制造|3.31|
|688122.SH|西部超导|国防军工|3.31|
|300027.SZ|ST华谊|传媒|3.3|
|000078.SZ|ST海王|医药生物|3.29|
|688011.SH|新光光电|国防军工|3.29|
|605319.SH|无锡振华|汽车|3.27|
|002853.SZ|皮阿诺|轻工制造|3.24|
|002106.SZ|莱宝高科|电子|3.24|
|000722.SZ|湖南发展|公用事业|3.19|
|603353.SH|和顺石油|石油石化|3.15|
|603486.SH|科沃斯|家用电器|3.15|
|600391.SH|航发科技|国防军工|3.12|
|000720.SZ|新能泰山|电力设备|3.11|
|300852.SZ|四会富仕|电子|3.1|
|003035.SZ|南网能源|公用事业|3.1|
|003007.SZ|直真科技|计算机|3.09|
|603230.SH|内蒙新华|传媒|3.08|
|301609.SZ|山大电力|电力设备|3.07|
|002298.SZ|中电鑫龙|计算机|3.05|
|603920.SH|世运电路|电子|3.03|
|300722.SZ|新余国科|国防军工|3.02|
|002510.SZ|天汽模|汽车|2.96|
|300667.SZ|必创科技|机械设备|2.94|
|300502.SZ|新易盛|通信|2.94|
|000582.SZ|北部湾港|交通运输|2.93|
|600229.SH|城市传媒|传媒|2.91|
|605117.SH|德业股份|电力设备|2.88|
|300741.SZ|华宝股份|基础化工|2.86|
|920075.BJ|柏星龙|轻工制造|2.85|
|300414.SZ|中光防雷|通信|2.85|
|000903.SZ|ST云动|汽车|2.84|
|603803.SH|瑞斯康达|通信|2.79|
|000859.SZ|国风新材|基础化工|2.78|
|301041.SZ|金百泽|电子|2.77|
|600973.SH|宝胜股份|电力设备|2.76|
