bucket,path,n,n_with_label,hit_rate,mean_fwd,mean_excess,neg_share,neg_tail_p10,neg_mean
1-10,all,1700,1687,0.5133372851215174,0.004733888898044825,0.004994144197553396,0.46769413159454654,-0.05291196107864379,-0.038999371230602264
1-10,new_buy,424,424,0.535377358490566,0.0039171939715743065,0.004082516301423311,0.4528301886792453,-0.04897583723068237,-0.03274959698319435
1-10,held,517,515,0.5145631067961165,0.0024471112992614508,0.0034015330020338297,0.4601941747572815,-0.04989328384399414,-0.04172219708561897
1-10,not_held,759,748,0.5,0.006771280895918608,0.006607412826269865,0.48128342245989303,-0.06074700355529785,-0.04054005444049835
11-20,all,1700,1689,0.4866785079928952,0.0023039295338094234,0.0025396535638719797,0.4985198342214328,-0.0517387866973877,-0.03538589924573898
11-20,new_buy,20,20,0.5,0.004721346311271191,-0.005634775850921869,0.5,-0.03782806396484375,-0.02297530695796013
11-20,held,289,288,0.4583333333333333,0.002123335376381874,0.0016770648071542382,0.5138888888888888,-0.04876775741577148,-0.03308752924203873
11-20,not_held,1391,1381,0.49239681390296886,0.0023065819405019283,0.002837926149368286,0.4952932657494569,-0.05359292030334473,-0.036064643412828445
21-50,all,5100,5069,0.4679423949496942,0.0018495583208277822,0.0020843730308115482,0.5233773919905307,-0.05128321647644043,-0.03310729190707207
21-50,new_buy,29,29,0.7241379310344828,0.015403741039335728,-5.8657136833062395e-05,0.2413793103448276,-0.02138265371322632,-0.02455439791083336
21-50,held,499,499,0.4468937875751503,3.948861558455974e-05,0.0010630388278514147,0.5410821643286573,-0.04910403490066528,-0.03314220532774925
21-50,not_held,4572,4541,0.4686192468619247,0.00196190201677382,0.002210291102528572,0.5232327681127505,-0.05203622579574585,-0.0331285260617733
