vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万电力设备行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 418 个符合条件标的，以下列出前 418 条
|证券代码|证券简称|证券编码|所属申万行业名称<[等级]:一级>|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|
|300450.SZ|先导智能|300450|电力设备|-1.33|
|601222.SH|林洋能源|601222|电力设备|-1.33|
|002079.SZ|苏州固锝|002079|电力设备|-1.34|
|002168.SZ|ST惠程|002168|电力设备|-1.34|
|600416.SH|湘电股份|600416|电力设备|-1.35|
|002733.SZ|雄韬股份|002733|电力设备|-1.35|
|600550.SH|保变电气|600550|电力设备|-1.37|
|688303.SH|大全能源|688303|电力设备|-1.39|
|300222.SZ|科大智能|300222|电力设备|-1.41|
|688472.SH|阿特斯|688472|电力设备|-1.42|
|002452.SZ|长高电气|002452|电力设备|-1.42|
|601179.SH|中国西电|601179|电力设备|-1.44|
|605066.SH|天正电气|605066|电力设备|-1.46|
|600482.SH|中国动力|600482|电力设备|-1.47|
|688707.SH|振华新材|688707|电力设备|-1.48|
|603344.SH|星德胜|603344|电力设备|-1.48|
|002339.SZ|积成电子|002339|电力设备|-1.49|
|601727.SH|上海电气|601727|电力设备|-1.5|
|300842.SZ|帝科股份|300842|电力设备|-1.5|
|301696.SZ|三瑞智能|301696|电力设备|-1.5|
|603556.SH|海兴电力|603556|电力设备|-1.51|
|603829.SH|洛凯股份|603829|电力设备|-1.53|
|600089.SH|特变电工|600089|电力设备|-1.53|
|002090.SZ|金智科技|002090|电力设备|-1.53|
|300069.SZ|金利华电|300069|电力设备|-1.54|
|603806.SH|福斯特|603806|电力设备|-1.56|
|002335.SZ|科华数据|002335|电力设备|-1.56|
|002121.SZ|科陆电子|002121|电力设备|-1.57|
|002340.SZ|格林美|002340|电力设备|-1.58|
|002518.SZ|科士达|002518|电力设备|-1.59|
|002270.SZ|华明装备|002270|电力设备|-1.62|
|002052.SZ|同洲电子|002052|电力设备|-1.62|
|688450.SH|光格科技|688450|电力设备|-1.62|
|603248.SH|锡华科技|603248|电力设备|-1.64|
|300376.SZ|易事特|300376|电力设备|-1.64|
