vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万计算机行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 389 个符合条件标的，以下列出前 389 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|002642.SZ|荣联科技|002642|-1.39|计算机|
|603881.SH|数据港|603881|-1.39|通信|
|301330.SZ|熵基科技|301330|-1.43|计算机|
|688651.SH|盛邦安全|688651|-1.44|计算机|
|600666.SH|奥瑞德|600666|-1.44|计算机|
|300691.SZ|联合光电|300691|-1.44|计算机|
|688509.SH|正元地信|688509|-1.45|计算机|
|002063.SZ|远光软件|002063|-1.47|计算机|
|300513.SZ|恒实科技|300513|-1.47|通信|
|002232.SZ|启明信息|002232|-1.49|计算机|
|002777.SZ|久远银海|002777|-1.5|计算机|
|300075.SZ|数字政通|300075|-1.52|计算机|
|603496.SH|恒为科技|603496|-1.52|计算机|
|688109.SH|品茗科技|688109|-1.53|计算机|
|300479.SZ|神思电子|300479|-1.56|计算机|
|000066.SZ|中国长城|000066|-1.56|计算机|
|600288.SH|大恒科技|600288|-1.57|计算机|
|688479.SH|友车科技|688479|-1.57|计算机|
|603636.SH|南威软件|603636|-1.59|计算机|
|002362.SZ|汉王科技|002362|-1.61|计算机|
|603869.SH|ST智知|603869|-1.61|计算机|
|300383.SZ|光环新网|300383|-1.62|通信|
|600797.SH|浙大网新|600797|-1.62|计算机|
|688258.SH|卓易信息|688258|-1.62|计算机|
|603887.SH|城地香江|603887|-1.64|计算机|
|600718.SH|东软集团|600718|-1.64|计算机|
|002530.SZ|金财互联|002530|-1.65|机械设备|
|300287.SZ|飞利信|300287|-1.65|计算机|
|600536.SH|中国软件|600536|-1.66|计算机|
|002253.SZ|川大智胜|002253|-1.67|计算机|
|600602.SH|云赛智联|600602|-1.69|计算机|
|002331.SZ|皖通科技|002331|-1.69|计算机|
|301589.SZ|诺瓦星云|301589|-1.71|计算机|
|300365.SZ|恒华科技|300365|-1.71|计算机|
|300324.SZ|旋极信息|300324|-1.72|计算机|
|301159.SZ|三维天地|301159|-1.73|计算机|
|300036.SZ|超图软件|300036|-1.74|计算机|
|603927.SH|中科软|603927|-1.74|计算机|
|600271.SH|航天信息|600271|-1.74|计算机|
|688500.SH|慧辰股份|688500|-1.75|计算机|
|600850.SH|电科数字|600850|-1.77|计算机|
|300508.SZ|维宏股份|300508|-1.78|计算机|
|600588.SH|用友网络|600588|-1.78|计算机|
|300556.SZ|丝路视觉|300556|-1.78|计算机|
|002405.SZ|四维图新|002405|-1.78|计算机|
|300925.SZ|法本信息|300925|-1.78|计算机|
|300155.SZ|安居宝|300155|-1.78|计算机|
|300627.SZ|华测导航|300627|-1.8|通信|
|301095.SZ|广立微|301095|-1.8|计算机|
|002609.SZ|捷顺科技|002609|-1.81|计算机|
|002908.SZ|德生科技|002908|-1.82|计算机|
|301182.SZ|凯旺科技|301182|-1.86|计算机|
|300496.SZ|中科创达|300496|-1.86|计算机|
|300790.SZ|宇瞳光学|300790|-1.86|计算机|
|300168.SZ|万达信息|300168|-1.86|计算机|
|688088.SH|虹软科技|688088|-1.87|计算机|
|688060.SH|云涌科技|688060|-1.88|计算机|
|000409.SZ|云鼎科技|000409|-1.88|计算机|
|300166.SZ|东方国信|300166|-1.89|计算机|
|300523.SZ|辰安科技|300523|-1.9|计算机|
|300455.SZ|航天智装|300455|-1.9|计算机|
|002410.SZ|广联达|002410|-1.91|计算机|
|603611.SH|诺力股份|603611|-1.92|机械设备|
|688507.SH|索辰科技|688507|-1.92|计算机|
|300264.SZ|佳创视讯|300264|-1.92|计算机|
|603918.SH|金桥信息|603918|-1.93|计算机|
|600728.SH|佳都科技|600728|-1.95|计算机|
