vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,申万钢铁和通信行业的全部A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 243 个符合条件标的，以下列出前 243 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|601686.SH|友发集团|601686|-1.7|钢铁|
|003031.SZ|中瓷电子|003031|-1.71|通信|
|688418.SH|震有科技|688418|-1.75|通信|
|300627.SZ|华测导航|300627|-1.8|通信|
|002908.SZ|德生科技|002908|-1.82|计算机|
|600010.SH|包钢股份|600010|-1.83|钢铁|
|002929.SZ|润建股份|002929|-1.86|通信|
|301307.SZ|美利信|301307|-1.87|机械设备|
|688283.SH|坤恒顺维|688283|-1.88|通信|
|688592.SH|司南导航|688592|-1.9|通信|
|603322.SH|超讯科技|603322|-1.91|通信|
|000055.SZ|方大集团|000055|-1.94|建筑材料|
|000032.SZ|深桑达A|000032|-1.95|建筑装饰|
|000555.SZ|神州信息|000555|-1.96|计算机|
|000035.SZ|中国天楹|000035|-1.98|环保|
|300050.SZ|世纪鼎利|300050|-1.99|社会服务|
|002123.SZ|梦网科技|002123|-2.02|通信|
|600581.SH|*ST八钢|600581|-2.02|钢铁|
|301419.SZ|阿莱德|301419|-2.12|通信|
|301380.SZ|挖金客|301380|-2.15|通信|
|300467.SZ|迅游科技|300467|-2.17|传媒|
|603220.SH|中贝通信|603220|-2.18|通信|
|300571.SZ|平治信息|300571|-2.19|通信|
|600022.SH|山东钢铁|600022|-2.22|钢铁|
|002796.SZ|世嘉科技|002796|-2.22|通信|
|300597.SZ|吉大通信|300597|-2.24|通信|
|600558.SH|大西洋|600558|-2.26|机械设备|
|600808.SH|马钢股份|600808|-2.28|钢铁|
|002110.SZ|三钢闽光|002110|-2.3|钢铁|
|002132.SZ|恒星科技|002132|-2.3|机械设备|
|600784.SH|鲁银投资|600784|-2.32|基础化工|
|000629.SZ|钒钛股份|000629|-2.33|钢铁|
|002316.SZ|亚联发展|002316|-2.37|综合|
|000889.SZ|中嘉博创|000889|-2.38|通信|
|601005.SH|重庆钢铁|601005|-2.4|钢铁|
|000656.SZ|金科股份|000656|-2.42|房地产|
|688100.SH|威胜信息|688100|-2.43|通信|
|300959.SZ|线上线下|300959|-2.47|通信|
|600295.SH|鄂尔多斯|600295|-2.48|钢铁|
|000825.SZ|太钢不锈|000825|-2.51|钢铁|
|688159.SH|有方科技|688159|-2.57|通信|
|300017.SZ|网宿科技|300017|-2.59|计算机|
|600289.SH|ST信通|600289|-2.59|通信|
|000717.SZ|中南股份|000717|-2.61|钢铁|
|300299.SZ|富春股份|300299|-2.61|传媒|
|300394.SZ|天孚通信|300394|-2.62|通信|
|300689.SZ|澄天伟业|300689|-2.64|通信|
|000709.SZ|河钢股份|000709|-2.8|钢铁|
|600507.SH|方大特钢|600507|-2.81|钢铁|
|603236.SH|移远通信|603236|-2.82|通信|
|002813.SZ|路畅科技|002813|-2.83|汽车|
|600782.SH|新钢股份|600782|-2.85|钢铁|
|300578.SZ|会畅科技|300578|-2.91|通信|
|002075.SZ|沙钢股份|002075|-2.97|钢铁|
|600117.SH|西宁特钢|600117|-3.02|钢铁|
|000932.SZ|华菱钢铁|000932|-3.03|钢铁|
|002756.SZ|永兴材料|002756|-3.16|有色金属|
|300548.SZ|长芯博创|300548|-3.2|通信|
|600307.SH|酒钢宏兴|600307|-3.21|钢铁|
|002881.SZ|美格智能|002881|-3.22|通信|
|000926.SZ|福星股份|000926|-3.23|房地产|
|301382.SZ|蜂助手|301382|-3.23|通信|
|600126.SH|杭钢股份|600126|-3.28|钢铁|
|300881.SZ|盛德鑫泰|300881|-3.33|钢铁|
|600076.SH|康欣新材|600076|-3.33|轻工制造|
|600399.SH|抚顺特钢|600399|-3.33|钢铁|
|600382.SH|广东明珠|600382|-3.4|钢铁|
|300531.SZ|优博讯|300531|-3.42|计算机|
|000778.SZ|新兴铸管|000778|-3.42|钢铁|
|001267.SZ|汇绿生态|001267|-3.45|通信|
|000039.SZ|中集集团|000039|-3.47|机械设备|
|603878.SH|武进不锈|603878|-3.5|钢铁|
|300620.SZ|光库科技|300620|-3.5|通信|
|600165.SH|宁科生物|600165|-3.6|基础化工|
|688668.SH|鼎通科技|688668|-3.6|通信|
|601969.SH|海南矿业|601969|-3.63|钢铁|
|600569.SH|安阳钢铁|600569|-3.66|钢铁|
|688205.SH|德科立|688205|-3.68|通信|
|000959.SZ|首钢股份|000959|-3.75|钢铁|
|688618.SH|三旺通信|688618|-3.83|通信|
|600231.SH|凌钢股份|600231|-3.87|钢铁|
|601121.SH|宝地矿业|601121|-3.87|钢铁|
|301428.SZ|世纪恒通|301428|-3.89|通信|
|002396.SZ|星网锐捷|002396|-3.89|通信|
|000655.SZ|金岭矿业|000655|-3.96|钢铁|
|601003.SH|柳钢股份|601003|-4.11|钢铁|
|002017.SZ|东信和平|002017|-4.13|通信|
|603083.SH|剑桥科技|603083|-4.25|通信|
|300555.SZ|ST路通|300555|-4.29|通信|
|002104.SZ|恒宝股份|002104|-4.53|通信|
|301205.SZ|联特科技|301205|-5.01|通信|
|301160.SZ|翔楼新材|301160|-5.18|机械设备|
|603559.SH|中通国脉|603559|-5.57|通信|
|000761.SZ|本钢板材|000761|-5.74|钢铁|
|603118.SH|共进股份|603118|-5.79|通信|
|001203.SZ|大中矿业|001203|-5.92|钢铁|
|601123.SH|马矿股份|601123|-6.5|钢铁|
|600714.SH|金瑞矿业|600714|-6.62|基础化工|
|000923.SZ|河钢资源|000923|-7.36|钢铁|
|003040.SZ|楚天龙|003040|-7.62|通信|
|002359.SZ|北讯退|002359|-||
|300038.SZ|数知退|300038|-||
|600102.SH|莱钢股份|600102|-||
|000836.SZ|ST富通|000836|-||
|600005.SH|武钢股份|600005|-||
|000961.SZ|ST中南|000961|-||
|600485.SH|*ST信威|600485|-||
|600462.SH|退市九有|600462|-||
|600357.SH|承德钒钛|600357|-||
|300312.SZ|邦讯退|300312|-||
|000687.SZ|华讯退|000687|-||
|000971.SZ|*ST高升|000971|-||
|600608.SH|退市沪科|600608|-||
|600001.SH|邯郸钢铁|600001|-||
|000535.SZ|*ST猴王|000535|-||
|000569.SZ|长城股份|000569|-||
|000851.SZ|*ST高鸿|000851|-||
|600804.SH|退市鹏博|600804|-||
|600260.SH|*ST凯乐|600260|-||
|002231.SZ|*ST奥维|002231|-||
|600355.SH|*ST精伦|600355|-||
|002417.SZ|深南退|002417|-||
|301139.SZ|*ST元道|301139|-|通信|
|300028.SZ|金亚退|300028|-||
|002089.SZ|新海退|002089|-||
|600680.SH|*ST上普|600680|-||",2026-09-13T08:48:38.239129+08:00
