vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万家用电器行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 132 个符合条件标的，以下列出前 132 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|000521.SZ|长虹美菱|000521|-4.07|家用电器|
|300911.SZ|亿田智能|300911|-4.12|家用电器|
|002418.SZ|康盛股份|002418|-4.23|家用电器|
|301187.SZ|欧圣电气|301187|-4.25|家用电器|
|603303.SH|得邦照明|603303|-4.64|家用电器|
|002670.SZ|国盛证券|002670|-4.64|非银金融|
|603726.SH|朗迪集团|603726|-5.3|家用电器|
|000810.SZ|创维数字|000810|-5.49|家用电器|
|301252.SZ|同星科技|301252|-5.49|家用电器|
|600711.SH|盛屯矿业|600711|-5.91|有色金属|
|605365.SH|立达信|605365|-6.18|家用电器|
|002403.SZ|爱仕达|002403|-10.0|家用电器|
|603366.SH|日出东方|603366|-10.02|家用电器|
|301008.SZ|宏昌科技|301008|-12.77|家用电器|
|600122.SH|*ST宏图|600122|-||
|603996.SH|退市中新|603996|-||
|000016.SZ|*ST康佳A|000016|-|家用电器|
|000527.SZ|美的电器|000527|-||
|002473.SZ|圣莱退|002473|-||
|002260.SZ|德奥退|002260|-||
|000418.SZ|小天鹅A|000418|-||
|600870.SH|退市厦华|600870|-||",2026-09-13T08:37:07.109582+08:00
